fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
710556,1628881200,55,Brentford,2,0,42,Arsenal
710557,1628949600,44,Burnley,1,2,51,Brighton
710558,1628949600,49,Chelsea,3,0,52,Crystal Palace
710559,1628949600,45,Everton,3,1,41,Southampton
710560,1628949600,46,Leicester,1,0,39,Wolves
710561,1628940600,33,Manchester United,5,1,63,Leeds
710562,1629032400,34,Newcastle,2,4,48,West Ham
710563,1628958600,71,Norwich,0,3,40,Liverpool
710564,1629041400,47,Tottenham,1,0,50,Manchester City
710565,1628949600,38,Watford,3,2,66,Aston Villa
710566,1629646200,42,Arsenal,0,2,49,Chelsea
710567,1629554400,66,Aston Villa,2,0,34,Newcastle
710568,1629563400,51,Brighton,2,0,38,Watford
710569,1629554400,52,Crystal Palace,0,0,55,Brentford
710570,1629554400,63,Leeds,2,2,45,Everton
710571,1629545400,40,Liverpool,2,0,44,Burnley
710572,1629554400,50,Manchester City,5,0,71,Norwich
710573,1629637200,41,Southampton,1,1,33,Manchester United
710574,1629745200,48,West Ham,4,1,46,Leicester
710575,1629637200,39,Wolves,0,1,47,Tottenham
710576,1630159200,66,Aston Villa,1,1,55,Brentford
710577,1630159200,51,Brighton,0,2,45,Everton
710578,1630242000,44,Burnley,1,1,63,Leeds
710579,1630168200,40,Liverpool,1,1,49,Chelsea
710580,1630150200,50,Manchester City,5,0,42,Arsenal
710581,1630159200,34,Newcastle,2,2,41,Southampton
710582,1630159200,71,Norwich,1,2,46,Leicester
710583,1630242000,47,Tottenham,1,0,38,Watford
710584,1630159200,48,West Ham,2,2,52,Crystal Palace
710585,1630251000,39,Wolves,0,1,33,Manchester United
710586,1631368800,42,Arsenal,1,0,71,Norwich
710587,1631368800,55,Brentford,0,1,51,Brighton
710588,1631377800,49,Chelsea,3,0,66,Aston Villa
710589,1631359800,52,Crystal Palace,3,0,47,Tottenham
710590,1631559600,45,Everton,3,1,44,Burnley
710591,1631460600,63,Leeds,0,3,40,Liverpool
710592,1631368800,46,Leicester,0,1,50,Manchester City
710593,1631368800,33,Manchester United,4,1,34,Newcastle
710594,1631368800,41,Southampton,0,0,48,West Ham
710595,1631368800,38,Watford,0,2,39,Wolves
710596,1631982600,66,Aston Villa,3,0,45,Everton
710597,1632056400,51,Brighton,2,1,46,Leicester
710598,1631973600,44,Burnley,0,1,42,Arsenal
710599,1631973600,40,Liverpool,3,0,52,Crystal Palace
710600,1631973600,50,Manchester City,0,0,41,Southampton
710601,1631905200,34,Newcastle,1,1,63,Leeds
710602,1631973600,71,Norwich,1,3,38,Watford
710603,1632065400,47,Tottenham,0,3,49,Chelsea
710604,1632056400,48,West Ham,1,2,33,Manchester United
710605,1631964600,39,Wolves,0,2,55,Brentford
710606,1632670200,42,Arsenal,3,1,47,Tottenham
710607,1632587400,55,Brentford,3,3,40,Liverpool
710608,1632569400,49,Chelsea,0,1,50,Manchester City
710609,1632769200,52,Crystal Palace,1,1,51,Brighton
710610,1632578400,45,Everton,2,0,71,Norwich
710611,1632578400,63,Leeds,1,2,48,West Ham
710612,1632578400,46,Leicester,2,2,44,Burnley
710613,1632569400,33,Manchester United,0,1,66,Aston Villa
710614,1632661200,41,Southampton,0,1,39,Wolves
710615,1632578400,38,Watford,1,1,34,Newcastle
710616,1633192200,51,Brighton,0,0,42,Arsenal
710617,1633183200,44,Burnley,0,0,71,Norwich
710618,1633183200,49,Chelsea,3,1,41,Southampton
710619,1633266000,52,Crystal Palace,2,2,46,Leicester
710620,1633183200,63,Leeds,1,0,38,Watford
710621,1633275000,40,Liverpool,2,2,50,Manchester City
710622,1633174200,33,Manchester United,1,1,45,Everton
710623,1633266000,47,Tottenham,2,1,66,Aston Villa
710624,1633266000,48,West Ham,1,2,55,Brentford
710625,1633183200,39,Wolves,2,1,34,Newcastle
710626,1634583600,42,Arsenal,2,2,52,Crystal Palace
710627,1634392800,66,Aston Villa,2,3,39,Wolves
710628,1634401800,55,Brentford,0,1,49,Chelsea
710629,1634475600,45,Everton,0,1,48,West Ham
710630,1634392800,46,Leicester,4,2,33,Manchester United
710631,1634392800,50,Manchester City,2,0,44,Burnley
710632,1634484600,34,Newcastle,2,3,47,Tottenham
710633,1634392800,71,Norwich,0,0,51,Brighton
710634,1634392800,41,Southampton,1,0,63,Leeds
710635,1634383800,38,Watford,0,5,40,Liverpool
710636,1634929200,42,Arsenal,3,1,66,Aston Villa
710637,1635080400,55,Brentford,1,2,46,Leicester
710638,1635006600,51,Brighton,1,4,50,Manchester City
710639,1634988600,49,Chelsea,7,0,71,Norwich
710640,1634997600,52,Crystal Palace,1,1,34,Newcastle
710641,1634997600,45,Everton,2,5,38,Watford
710642,1634997600,63,Leeds,1,1,39,Wolves
710643,1635089400,33,Manchester United,0,5,40,Liverpool
710644,1634997600,41,Southampton,2,2,44,Burnley
710645,1635080400,48,West Ham,1,0,47,Tottenham
710646,1635697800,66,Aston Villa,1,4,48,West Ham
710647,1635602400,44,Burnley,3,1,55,Brentford
710648,1635593400,46,Leicester,0,2,42,Arsenal
710649,1635602400,40,Liverpool,2,2,51,Brighton
710650,1635602400,50,Manchester City,0,2,52,Crystal Palace
710651,1635602400,34,Newcastle,0,3,49,Chelsea
710652,1635688800,71,Norwich,1,2,63,Leeds
710653,1635611400,47,Tottenham,0,3,33,Manchester United
710654,1635602400,38,Watford,0,1,41,Southampton
710655,1635796800,39,Wolves,2,1,45,Everton
710656,1636293600,42,Arsenal,1,0,38,Watford
710657,1636210800,55,Brentford,1,2,71,Norwich
710658,1636219800,51,Brighton,1,1,34,Newcastle
710659,1636210800,49,Chelsea,1,1,44,Burnley
710660,1636210800,52,Crystal Palace,2,0,39,Wolves
710661,1636293600,45,Everton,0,0,47,Tottenham
710662,1636293600,63,Leeds,1,1,46,Leicester
710663,1636201800,33,Manchester United,0,2,50,Manchester City
710664,1636142400,41,Southampton,1,0,66,Aston Villa
710665,1636302600,48,West Ham,3,2,40,Liverpool
710666,1637420400,66,Aston Villa,2,0,51,Brighton
710667,1637420400,44,Burnley,3,3,52,Crystal Palace
710668,1637411400,46,Leicester,0,3,49,Chelsea
710669,1637429400,40,Liverpool,4,0,42,Arsenal
710670,1637503200,50,Manchester City,3,0,45,Everton
710671,1637420400,34,Newcastle,3,3,55,Brentford
710672,1637420400,71,Norwich,2,1,41,Southampton
710673,1637512200,47,Tottenham,2,1,63,Leeds
710674,1637420400,38,Watford,4,1,33,Manchester United
710675,1637420400,39,Wolves,1,0,48,West Ham
710676,1638016200,42,Arsenal,2,0,34,Newcastle
710677,1638108000,55,Brentford,1,0,45,Everton
710678,1638034200,51,Brighton,0,0,63,Leeds
710679,1645644600,44,Burnley,1,0,47,Tottenham
710680,1638117000,49,Chelsea,1,1,33,Manchester United
710681,1638025200,52,Crystal Palace,1,2,66,Aston Villa
710682,1638108000,46,Leicester,4,2,38,Watford
710683,1638025200,40,Liverpool,4,0,41,Southampton
710684,1638108000,50,Manchester City,2,1,48,West Ham
710685,1638025200,71,Norwich,0,0,39,Wolves
710686,1638389700,66,Aston Villa,1,2,50,Manchester City
710687,1638389700,45,Everton,1,4,40,Liverpool
710688,1638303300,63,Leeds,1,0,52,Crystal Palace
710689,1638387000,38,Watford,1,2,49,Chelsea
710690,1638387000,48,West Ham,1,1,51,Brighton
710691,1638387000,39,Wolves,0,0,44,Burnley
710692,1638476100,33,Manchester United,3,2,42,Arsenal
710693,1638300600,34,Newcastle,1,1,71,Norwich
710694,1638387000,41,Southampton,2,2,46,Leicester
710695,1638473400,47,Tottenham,2,0,55,Brentford
710696,1638721800,66,Aston Villa,2,1,46,Leicester
710697,1638820800,45,Everton,2,1,42,Arsenal
710698,1638712800,63,Leeds,2,2,55,Brentford
710699,1638712800,33,Manchester United,1,0,52,Crystal Palace
710700,1638630000,34,Newcastle,1,0,44,Burnley
710701,1638630000,41,Southampton,1,1,51,Brighton
710702,1638712800,47,Tottenham,3,0,71,Norwich
710703,1638639000,38,Watford,1,3,50,Manchester City
710704,1638621000,48,West Ham,3,2,49,Chelsea
710705,1638630000,39,Wolves,0,1,40,Liverpool
710706,1639234800,42,Arsenal,3,0,41,Southampton
710707,1639166400,55,Brentford,2,1,38,Watford
710708,1647459000,51,Brighton,0,2,47,Tottenham
710709,1639317600,44,Burnley,0,0,48,West Ham
710710,1639234800,49,Chelsea,3,2,63,Leeds
710711,1639326600,52,Crystal Palace,3,1,45,Everton
710712,1639317600,46,Leicester,4,0,34,Newcastle
710713,1639234800,40,Liverpool,1,0,66,Aston Villa
710714,1639225800,50,Manchester City,1,0,39,Wolves
710715,1639243800,71,Norwich,0,1,33,Manchester United
710716,1639598400,42,Arsenal,2,0,48,West Ham
