fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
716796,1628275500,35,Bournemouth,2,2,60,West Brom
716797,1628344800,67,Blackburn,2,1,76,Swansea
716798,1628344800,56,Bristol City,1,1,1356,Blackpool
716799,1628344800,43,Cardiff,1,1,747,Barnsley
716800,1628436600,1346,Coventry,2,1,65,Nottingham Forest
716801,1628344800,69,Derby,1,1,37,Huddersfield
716802,1628425800,36,Fulham,1,1,70,Middlesbrough
716803,1628344800,1359,Luton,3,0,1350,Peterborough
716804,1628344800,59,Preston,1,4,64,Hull City
716805,1628344800,72,QPR,1,1,58,Millwall
716806,1628362800,62,Sheffield Utd,0,1,54,Birmingham
716807,1628344800,75,Stoke City,3,2,53,Reading
716808,1628949600,747,Barnsley,1,0,1346,Coventry
716809,1628949600,54,Birmingham,0,0,75,Stoke City
716810,1628949600,1356,Blackpool,0,2,43,Cardiff
716811,1628949600,37,Huddersfield,1,5,36,Fulham
716812,1628949600,64,Hull City,0,3,72,QPR
716813,1628949600,70,Middlesbrough,2,1,56,Bristol City
716814,1628949600,58,Millwall,1,1,67,Blackburn
716815,1628949600,65,Nottingham Forest,1,2,35,Bournemouth
716816,1628940600,1350,Peterborough,2,1,69,Derby
716817,1628949600,53,Reading,2,1,59,Preston
716818,1628967600,76,Swansea,0,0,62,Sheffield Utd
716819,1628949600,60,West Brom,3,2,1359,Luton
716820,1629225900,747,Barnsley,0,1,1359,Luton
716821,1629225900,1356,Blackpool,0,1,1346,Coventry
716822,1629225900,37,Huddersfield,1,0,59,Preston
716823,1629225900,58,Millwall,1,2,36,Fulham
716824,1629225900,1350,Peterborough,2,2,43,Cardiff
716825,1629225900,76,Swansea,1,3,75,Stoke City
716826,1629312300,54,Birmingham,0,2,35,Bournemouth
716827,1629312300,64,Hull City,0,1,69,Derby
716828,1629312300,70,Middlesbrough,2,3,72,QPR
716829,1629312300,65,Nottingham Forest,1,2,67,Blackburn
716830,1629226800,53,Reading,2,3,56,Bristol City
