,team_name,league,elo_rating,games
40,Liverpool,39,2147.50,49
50,Manchester City,39,2110.49,43
49,Chelsea,39,2010.71,48
47,Tottenham,39,1959.29,45
42,Arsenal,39,1944.24,43
34,Newcastle,39,1897.20,39
52,Crystal Palace,39,1882.12,43
51,Brighton,39,1857.50,43
46,Leicester,39,1849.07,43
65,Nottingham Forest,40,1845.16,54
33,Manchester United,39,1843.21,41
48,West Ham,39,1816.12,43
66,Aston Villa,39,1805.62,40
35,Bournemouth,40,1804.42,47
55,Brentford,39,1802.34,41
36,Fulham,40,1756.96,50
37,Huddersfield,40,1756.54,53
45,Everton,39,1745.71,43
62,Sheffield Utd,40,1744.41,51
39,Wolves,39,1742.74,42
63,Leeds,39,1732.85,41
44,Burnley,39,1713.86,41
41,Southampton,39,1712.82,44
1359,Luton,40,1679.55,49
58,Millwall,40,1674.20,48
70,Middlesbrough,40,1652.34,50
59,Preston,40,1628.74,48
75,Stoke City,40,1615.02,49
76,Swansea,40,1612.65,49
1346,Coventry,40,1607.79,48
67,Blackburn,40,1602.90,46
60,West Brom,40,1599.78,48
56,Bristol City,40,1580.49,47
71,Norwich,39,1580.40,42
64,Hull City,40,1563.67,47
1356,Blackpool,40,1554.22,47
43,Cardiff,40,1550.48,49
69,Derby,40,1543.09,48
38,Watford,39,1541.99,41
72,QPR,40,1540.40,48
1350,Peterborough,40,1524.62,48
53,Reading,40,1485.86,47
54,Birmingham,40,1476.70,47
747,Barnsley,40,1385.63,47
