fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
867946,1659726000,52,Crystal Palace,0,2,42,Arsenal
867947,1659785400,36,Fulham,2,2,40,Liverpool
867948,1659794400,35,Bournemouth,2,0,66,Aston Villa
867949,1659794400,63,Leeds,2,1,39,Wolves
867950,1659877200,46,Leicester,2,2,55,Brentford
867951,1659794400,34,Newcastle,2,0,65,Nottingham Forest
867952,1659794400,47,Tottenham,4,1,41,Southampton
867953,1659803400,45,Everton,0,1,49,Chelsea
867954,1659877200,33,Manchester United,1,2,51,Brighton
867955,1659886200,48,West Ham,0,2,50,Manchester City
867956,1660399200,42,Arsenal,4,2,46,Leicester
867957,1660390200,66,Aston Villa,2,1,45,Everton
867958,1660408200,55,Brentford,4,0,33,Manchester United
867959,1660399200,51,Brighton,0,0,34,Newcastle
867960,1660491000,49,Chelsea,2,2,47,Tottenham
867961,1660590000,40,Liverpool,1,1,52,Crystal Palace
867962,1660399200,50,Manchester City,4,0,35,Bournemouth
867963,1660482000,65,Nottingham Forest,1,0,48,West Ham
867964,1660399200,41,Southampton,2,2,63,Leeds
867965,1660399200,39,Wolves,0,0,36,Fulham
867966,1661013000,35,Bournemouth,0,3,42,Arsenal
867967,1661004000,52,Crystal Palace,3,1,66,Aston Villa
867968,1661004000,45,Everton,1,1,65,Nottingham Forest
867969,1661004000,36,Fulham,3,2,55,Brentford
867970,1661086800,63,Leeds,3,0,49,Chelsea
867971,1661004000,46,Leicester,1,2,41,Southampton
867972,1661194800,33,Manchester United,2,1,40,Liverpool
867973,1661095800,34,Newcastle,3,3,50,Manchester City
867974,1660995000,47,Tottenham,1,0,39,Wolves
867975,1661086800,48,West Ham,0,2,51,Brighton
867976,1661617800,42,Arsenal,2,1,36,Fulham
867977,1661691600,66,Aston Villa,0,1,48,West Ham
867978,1661608800,55,Brentford,1,1,45,Everton
867979,1661608800,51,Brighton,1,0,63,Leeds
867980,1661608800,49,Chelsea,2,1,46,Leicester
867981,1661608800,40,Liverpool,9,0,35,Bournemouth
867982,1661608800,50,Manchester City,4,2,52,Crystal Palace
867983,1661700600,65,Nottingham Forest,0,2,47,Tottenham
867984,1661599800,41,Southampton,0,1,33,Manchester United
867985,1661691600,39,Wolves,1,1,34,Newcastle
867986,1661970600,35,Bournemouth,0,0,39,Wolves
867987,1661970600,42,Arsenal,2,1,66,Aston Villa
867988,1661884200,36,Fulham,2,1,51,Brighton
867989,1661886000,63,Leeds,1,1,45,Everton
867990,1662058800,46,Leicester,0,1,33,Manchester United
867991,1661971500,48,West Ham,1,1,47,Tottenham
867992,1661884200,52,Crystal Palace,1,1,55,Brentford
867993,1661885100,41,Southampton,2,1,49,Chelsea
867994,1661972400,40,Liverpool,2,1,34,Newcastle
867995,1661970600,50,Manchester City,6,0,65,Nottingham Forest
867996,1662222600,66,Aston Villa,1,1,50,Manchester City
867997,1662213600,55,Brentford,5,2,63,Leeds
867998,1662296400,51,Brighton,5,2,46,Leicester
867999,1662213600,49,Chelsea,2,1,48,West Ham
868000,1662204600,45,Everton,0,0,40,Liverpool
868001,1662305400,33,Manchester United,3,1,42,Arsenal
868002,1662213600,34,Newcastle,0,0,52,Crystal Palace
868003,1662213600,65,Nottingham Forest,2,3,35,Bournemouth
868004,1662213600,47,Tottenham,2,1,36,Fulham
868005,1662213600,39,Wolves,1,0,41,Southampton
868006,1680633900,35,Bournemouth,0,2,51,Brighton
868007,1677699900,42,Arsenal,4,0,45,Everton
868008,1674072000,52,Crystal Palace,1,1,33,Manchester United
868009,1673553600,36,Fulham,2,1,49,Chelsea
868010,1680633900,63,Leeds,2,1,65,Nottingham Forest
868011,1680633900,46,Leicester,1,2,66,Aston Villa
868012,1677700800,40,Liverpool,2,0,39,Wolves
868013,1674158400,50,Manchester City,4,2,47,Tottenham
868014,1678908600,41,Southampton,0,2,55,Brentford
868015,1680721200,48,West Ham,1,5,34,Newcastle
868016,1663354800,66,Aston Villa,1,0,41,Southampton
868017,1663498800,55,Brentford,0,3,42,Arsenal
868018,1678908600,51,Brighton,1,0,52,Crystal Palace
868019,1680634800,49,Chelsea,0,0,40,Liverpool
868020,1663506900,45,Everton,1,0,48,West Ham
868021,1675886400,33,Manchester United,2,2,63,Leeds
868022,1663423200,34,Newcastle,1,1,35,Bournemouth
868023,1663354800,65,Nottingham Forest,2,3,36,Fulham
868024,1663432200,47,Tottenham,6,2,46,Leicester
868025,1663414200,39,Wolves,0,3,50,Manchester City
868026,1664632800,35,Bournemouth,0,0,55,Brentford
868027,1664623800,42,Arsenal,3,1,47,Tottenham
868028,1664632800,52,Crystal Palace,1,2,49,Chelsea
868029,1664632800,36,Fulham,1,4,34,Newcastle
868030,1664724600,63,Leeds,0,0,66,Aston Villa
868031,1664823600,46,Leicester,4,0,65,Nottingham Forest
868032,1664632800,40,Liverpool,3,3,51,Brighton
868033,1664715600,50,Manchester City,6,3,33,Manchester United
868034,1664632800,41,Southampton,1,2,45,Everton
868035,1664641800,48,West Ham,2,0,39,Wolves
868036,1665237600,35,Bournemouth,2,1,46,Leicester
868037,1665329400,42,Arsenal,3,2,40,Liverpool
868038,1665246600,51,Brighton,0,1,47,Tottenham
868039,1665237600,49,Chelsea,3,0,39,Wolves
868040,1665320400,52,Crystal Palace,2,1,63,Leeds
868041,1665338400,45,Everton,1,2,33,Manchester United
868042,1665237600,50,Manchester City,4,0,41,Southampton
868043,1665237600,34,Newcastle,5,1,55,Brentford
868044,1665428400,65,Nottingham Forest,1,1,66,Aston Villa
868045,1665320400,48,West Ham,3,1,36,Fulham
868046,1665925200,66,Aston Villa,0,2,49,Chelsea
868047,1665774000,55,Brentford,2,0,51,Brighton
868048,1665842400,36,Fulham,2,2,35,Bournemouth
868049,1665925200,63,Leeds,0,1,42,Arsenal
868050,1665833400,46,Leicester,0,0,52,Crystal Palace
868051,1665934200,40,Liverpool,1,0,50,Manchester City
868052,1665925200,33,Manchester United,0,0,34,Newcastle
868053,1665925200,41,Southampton,1,1,48,West Ham
868054,1665851400,47,Tottenham,2,0,45,Everton
868055,1665842400,39,Wolves,1,0,65,Nottingham Forest
868056,1666204200,35,Bournemouth,0,1,41,Southampton
868057,1676489400,42,Arsenal,1,3,50,Manchester City
868058,1666204200,55,Brentford,0,0,49,Chelsea
868059,1666117800,51,Brighton,0,0,65,Nottingham Forest
868060,1666290600,36,Fulham,3,0,66,Aston Villa
868061,1666293300,46,Leicester,2,0,63,Leeds
868062,1666120500,52,Crystal Palace,2,1,39,Wolves
868063,1666204200,34,Newcastle,1,0,45,Everton
868064,1666204200,40,Liverpool,1,0,48,West Ham
868065,1666206900,33,Manchester United,2,0,47,Tottenham
868066,1666530000,66,Aston Villa,4,0,55,Brentford
868067,1666456200,49,Chelsea,1,1,33,Manchester United
868068,1666447200,45,Everton,3,0,52,Crystal Palace
