fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
877907,1660157100,67,Blackburn,4,0,1366,Hartlepool
877908,1660070700,1842,Harrogate Town,0,1,4686,Stockport County
877909,1660070700,68,Bolton,5,1,1844,Salford City
877910,1660070700,1375,Morecambe,0,0,75,Stoke City
877911,1660070700,1356,Blackpool,0,0,1819,Barrow
877912,1660244400,60,West Brom,1,0,62,Sheffield Utd
877913,1660157100,74,Sheffield Wednesday,2,0,746,Sunderland
877914,1660070700,1365,Grimsby,4,0,1363,Crewe
877915,1660070700,1374,Mansfield Town,1,2,69,Derby
877916,1660070700,1360,Accrington ST,2,2,1381,Tranmere
877917,1660157100,70,Middlesbrough,0,1,747,Barnsley
877918,1660070700,1343,Bradford,2,1,64,Hull City
877919,1660070700,1339,Rochdale,2,0,748,Burton Albion
877920,1660070700,1354,Doncaster,0,3,1379,Lincoln
877921,1660070700,37,Huddersfield,1,4,59,Preston
877922,1660069800,1352,Shrewsbury,3,2,1371,Carlisle
877923,1660157100,1351,Port Vale,1,2,73,Rotherham
877924,1660070700,1336,Fleetwood Town,1,0,61,Wigan
877925,1660070700,71,Norwich,2,2,54,Birmingham
877926,1660157100,1346,Coventry,1,4,56,Bristol City
877927,1660070700,1337,Northampton,1,2,1358,Wycombe
877928,1660070700,43,Cardiff,0,3,1355,Portsmouth
877929,1660070700,1335,Charlton,1,1,72,QPR
877930,1660070700,1362,Crawley Town,1,0,1334,Bristol Rovers
877931,1660070700,1342,Walsall,2,0,1353,Swindon Town
877932,1660070700,57,Ipswich,0,1,1361,Colchester
877933,1660070700,1359,Luton,2,3,1367,Newport County
877934,1660071600,53,Reading,1,2,1368,Stevenage
877935,1660157100,1357,Plymouth,0,2,1350,Peterborough
877936,1660070700,1333,AFC Wimbledon,0,2,1347,Gillingham
877937,1660070700,1372,Cheltenham,0,7,1364,Exeter City
877938,1660070700,1348,Milton Keynes Dons,1,0,1835,Sutton Utd
877939,1660070700,1378,Forest Green,2,0,1373,Leyton Orient
877940,1659465900,1370,Cambridge United,1,0,58,Millwall
877941,1660070700,1338,Oxford United,2,2,76,Swansea
933619,1661280300,68,Bolton,1,4,66,Aston Villa
933620,1661280300,39,Wolves,2,1,59,Preston
933621,1661366700,63,Leeds,3,1,747,Barnsley
933622,1661280300,1336,Fleetwood Town,0,1,45,Everton
933623,1661279400,74,Sheffield Wednesday,3,0,1339,Rochdale
933624,1661366700,1381,Tranmere,1,2,34,Newcastle
933625,1661280300,73,Rotherham,0,1,1375,Morecambe
933626,1661280300,1819,Barrow,2,2,1379,Lincoln
933627,1661280300,4686,Stockport County,0,0,46,Leicester
933628,1661280300,1343,Bradford,1,2,67,Blackburn
933629,1661280300,1365,Grimsby,0,3,65,Nottingham Forest
933630,1661279400,1352,Shrewsbury,0,1,44,Burnley
933631,1661280300,1368,Stevenage,1,0,1350,Peterborough
933632,1661280300,71,Norwich,2,2,35,Bournemouth
933633,1661280300,1367,Newport County,3,2,1355,Portsmouth
933634,1661280300,1338,Oxford United,0,2,52,Crystal Palace
933635,1661280300,38,Watford,0,2,1348,Milton Keynes Dons
933636,1661280300,1361,Colchester,0,2,55,Brentford
933637,1661366700,1358,Wycombe,1,3,56,Bristol City
933638,1661277600,1342,Walsall,0,1,1335,Charlton
933639,1661280300,1362,Crawley Town,2,0,36,Fulham
933640,1661280300,1370,Cambridge United,0,3,41,Southampton
933641,1661280300,1347,Gillingham,0,0,1364,Exeter City
933642,1661366700,1378,Forest Green,0,3,51,Brighton
933930,1661280300,69,Derby,1,0,60,West Brom
945930,1667936700,46,Leicester,3,0,1367,Newport County
945931,1668023100,48,West Ham,2,2,67,Blackburn
945932,1668023100,39,Wolves,1,0,63,Leeds
945933,1668023100,65,Nottingham Forest,2,0,47,Tottenham
945934,1668110400,33,Manchester United,4,2,66,Aston Villa
945935,1667936700,35,Bournemouth,4,1,45,Everton
945936,1668024000,40,Liverpool,0,0,69,Derby
945937,1667936700,44,Burnley,3,1,1362,Crawley Town
945938,1667936700,56,Bristol City,1,3,1379,Lincoln
945939,1668024000,50,Manchester City,2,0,49,Chelsea
945940,1667936700,1368,Stevenage,1,1,1335,Charlton
945941,1667936700,1348,Milton Keynes Dons,2,0,1375,Morecambe
945942,1668023100,34,Newcastle,0,0,52,Crystal Palace
945943,1668023100,41,Southampton,1,1,74,Sheffield Wednesday
945944,1668023100,42,Arsenal,1,3,51,Brighton
945945,1667936700,55,Brentford,1,1,1347,Gillingham
972358,1671565500,39,Wolves,2,0,1347,Gillingham
972359,1671565500,41,Southampton,2,1,1379,Lincoln
972360,1671651900,67,Blackburn,1,4,65,Nottingham Forest
972361,1671565500,34,Newcastle,1,0,35,Bournemouth
972362,1671739200,50,Manchester City,3,2,40,Liverpool
972363,1671652800,33,Manchester United,2,0,44,Burnley
972364,1671565500,1348,Milton Keynes Dons,0,3,46,Leicester
972365,1671651900,1335,Charlton,0,0,51,Brighton
981786,1673380800,33,Manchester United,3,0,1335,Charlton
981787,1673467200,41,Southampton,2,0,50,Manchester City
981788,1673466300,65,Nottingham Forest,1,1,39,Wolves
981789,1673380800,34,Newcastle,2,0,46,Leicester
986793,1674590400,41,Southampton,0,1,34,Newcastle
986794,1675195200,34,Newcastle,2,1,41,Southampton
986795,1674676800,65,Nottingham Forest,0,3,33,Manchester United
986796,1675281600,33,Manchester United,2,0,65,Nottingham Forest
998280,1677429000,33,Manchester United,2,0,34,Newcastle
