fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
874671,1659121200,37,Huddersfield,0,1,44,Burnley
874672,1659189600,67,Blackburn,1,0,72,QPR
874673,1659189600,1356,Blackpool,1,0,53,Reading
874674,1659189600,43,Cardiff,1,0,71,Norwich
874675,1659189600,64,Hull City,2,1,56,Bristol City
874676,1659189600,1359,Luton,0,0,54,Birmingham
874677,1659189600,58,Millwall,2,0,75,Stoke City
874678,1659189600,73,Rotherham,1,1,76,Swansea
874679,1659189600,61,Wigan,0,0,59,Preston
874680,1659198600,70,Middlesbrough,1,1,60,West Brom
874681,1659265200,746,Sunderland,1,1,1346,Coventry
874682,1659380400,38,Watford,1,0,62,Sheffield Utd
874683,1659725100,54,Birmingham,2,1,37,Huddersfield
874684,1659794400,56,Bristol City,2,3,746,Sunderland
874685,1659794400,44,Burnley,1,1,1359,Luton
874686,1666723500,1346,Coventry,2,2,73,Rotherham
874687,1659785400,71,Norwich,1,1,61,Wigan
874688,1659794400,59,Preston,0,0,64,Hull City
874689,1659794400,72,QPR,3,2,70,Middlesbrough
874690,1659794400,53,Reading,2,1,43,Cardiff
874691,1659794400,62,Sheffield Utd,2,0,58,Millwall
874692,1659794400,75,Stoke City,2,0,1356,Blackpool
874693,1659794400,76,Swansea,0,3,67,Blackburn
874694,1659985200,60,West Brom,1,1,38,Watford
874695,1660485600,67,Blackburn,2,1,60,West Brom
874696,1660399200,1356,Blackpool,0,1,76,Swansea
874697,1660390200,43,Cardiff,1,0,54,Birmingham
874698,1660399200,37,Huddersfield,3,1,75,Stoke City
874699,1660399200,64,Hull City,2,1,71,Norwich
874700,1660399200,1359,Luton,0,1,59,Preston
874701,1660482000,70,Middlesbrough,2,2,62,Sheffield Utd
874702,1660399200,58,Millwall,3,2,1346,Coventry
874703,1660399200,73,Rotherham,4,0,53,Reading
874704,1660399200,746,Sunderland,2,2,72,QPR
874705,1660330800,38,Watford,1,0,44,Burnley
874706,1660399200,61,Wigan,1,1,56,Bristol City
874707,1660675500,54,Birmingham,1,1,38,Watford
874708,1660675500,56,Bristol City,2,0,1359,Luton
874709,1660675500,44,Burnley,1,1,64,Hull City
874710,1667936700,1346,Coventry,2,0,61,Wigan
874711,1660675500,71,Norwich,2,1,37,Huddersfield
874712,1660675500,59,Preston,0,0,73,Rotherham
874713,1660676400,72,QPR,0,1,1356,Blackpool
874714,1660762800,62,Sheffield Utd,2,1,746,Sunderland
874715,1660675500,76,Swansea,2,2,58,Millwall
874716,1660762800,53,Reading,3,0,67,Blackburn
874717,1660761900,75,Stoke City,2,2,70,Middlesbrough
874718,1660762800,60,West Brom,0,0,43,Cardiff
880767,1661004000,54,Birmingham,0,1,61,Wigan
880768,1661079600,56,Bristol City,2,0,43,Cardiff
880769,1661004000,44,Burnley,3,3,1356,Blackpool
880770,1674918000,1346,Coventry,2,0,37,Huddersfield
880771,1660935600,71,Norwich,2,0,58,Millwall
880772,1661004000,59,Preston,0,0,38,Watford
880773,1661004000,72,QPR,1,1,73,Rotherham
880774,1661004000,53,Reading,1,0,70,Middlesbrough
880775,1661004000,62,Sheffield Utd,3,0,67,Blackburn
880776,1661004000,75,Stoke City,0,1,746,Sunderland
880777,1661004000,76,Swansea,0,2,1359,Luton
880778,1661004000,60,West Brom,5,2,64,Hull City
880779,1661608800,67,Blackburn,0,1,75,Stoke City
880780,1661608800,1356,Blackpool,3,3,56,Bristol City
880781,1661608800,43,Cardiff,0,0,59,Preston
880782,1661608800,37,Huddersfield,2,2,60,West Brom
880783,1661608800,64,Hull City,3,2,1346,Coventry
880784,1661540400,1359,Luton,1,1,62,Sheffield Utd
880785,1661608800,70,Middlesbrough,2,1,76,Swansea
880786,1661608800,58,Millwall,0,1,53,Reading
880787,1661608800,73,Rotherham,2,0,54,Birmingham
880788,1661599800,746,Sunderland,0,1,71,Norwich
880789,1661608800,38,Watford,2,3,72,QPR
880790,1661608800,61,Wigan,1,5,44,Burnley
880791,1661885100,54,Birmingham,1,2,71,Norwich
880792,1661885100,44,Burnley,2,0,58,Millwall
880793,1661885100,43,Cardiff,1,2,1359,Luton
880794,1661885100,72,QPR,3,1,64,Hull City
880795,1661886000,38,Watford,2,1,70,Middlesbrough
880796,1661885100,61,Wigan,1,1,60,West Brom
880797,1661972400,1356,Blackpool,0,1,67,Blackburn
880798,1661971500,56,Bristol City,2,0,37,Huddersfield
880799,1661971500,1346,Coventry,0,1,59,Preston
880800,1661885100,62,Sheffield Utd,4,0,53,Reading
880801,1661971500,746,Sunderland,3,0,73,Rotherham
880802,1661971500,75,Stoke City,1,1,76,Swansea
880803,1662213600,67,Blackburn,2,3,56,Bristol City
880804,1662300000,37,Huddersfield,0,1,1356,Blackpool
880805,1662300000,64,Hull City,0,2,62,Sheffield Utd
880806,1662213600,1359,Luton,1,2,61,Wigan
880807,1662404400,70,Middlesbrough,1,0,746,Sunderland
880808,1662213600,58,Millwall,2,0,43,Cardiff
880809,1662213600,71,Norwich,3,0,1346,Coventry
880810,1662213600,59,Preston,0,1,54,Birmingham
880811,1662289200,53,Reading,2,1,75,Stoke City
880812,1662213600,73,Rotherham,1,1,38,Watford
880813,1662213600,76,Swansea,1,0,72,QPR
880814,1662145200,60,West Brom,1,1,44,Burnley
880815,1667936700,54,Birmingham,2,2,76,Swansea
880816,1667936700,1356,Blackpool,0,3,70,Middlesbrough
880817,1665600300,56,Bristol City,2,1,59,Preston
880818,1666724400,44,Burnley,1,0,71,Norwich
880819,1667936700,43,Cardiff,2,3,64,Hull City
880820,1671651900,1346,Coventry,1,0,60,West Brom
880821,1667936700,72,QPR,1,2,37,Huddersfield
880822,1667936700,62,Sheffield Utd,0,1,73,Rotherham
880823,1667936700,75,Stoke City,2,0,1359,Luton
880824,1670070600,746,Sunderland,3,0,58,Millwall
880825,1667937600,38,Watford,2,0,53,Reading
880826,1665513900,61,Wigan,1,0,67,Blackburn
880827,1663094700,67,Blackburn,2,0,38,Watford
880828,1663094700,37,Huddersfield,1,2,61,Wigan
880829,1663094700,64,Hull City,0,3,75,Stoke City
880830,1663094700,70,Middlesbrough,2,3,43,Cardiff
880831,1663095600,59,Preston,1,1,44,Burnley
880832,1663094700,76,Swansea,0,1,62,Sheffield Utd
880833,1663181100,1359,Luton,2,2,1346,Coventry
880834,1663181100,58,Millwall,0,2,72,QPR
880835,1663181100,71,Norwich,3,2,56,Bristol City
880836,1663181100,73,Rotherham,3,0,1356,Blackpool
880837,1663182000,53,Reading,0,3,746,Sunderland
880838,1663182000,60,West Brom,2,3,54,Birmingham
880839,1663423200,54,Birmingham,0,0,1346,Coventry
880840,1663423200,44,Burnley,2,1,56,Bristol City
880841,1663423200,37,Huddersfield,1,0,43,Cardiff
880842,1663423200,1359,Luton,2,0,67,Blackburn
880843,1663440300,70,Middlesbrough,0,0,73,Rotherham
880844,1663423200,58,Millwall,2,1,1356,Blackpool
880845,1663423200,71,Norwich,1,1,60,West Brom
880846,1663423200,59,Preston,0,2,62,Sheffield Utd
880847,1663423200,72,QPR,0,0,75,Stoke City
880848,1663414200,76,Swansea,3,0,64,Hull City
880849,1663423200,38,Watford,2,2,746,Sunderland
880850,1663423200,61,Wigan,0,1,53,Reading
880851,1664632800,67,Blackburn,2,1,58,Millwall
880852,1664632800,1356,Blackpool,0,1,71,Norwich
880853,1664632800,56,Bristol City,1,2,72,QPR
880854,1664632800,43,Cardiff,1,1,44,Burnley
880855,1664632800,1346,Coventry,1,0,70,Middlesbrough
880856,1664564400,64,Hull City,0,2,1359,Luton
880857,1664632800,53,Reading,3,1,37,Huddersfield
880858,1664632800,73,Rotherham,0,2,61,Wigan
880859,1664632800,62,Sheffield Utd,1,1,54,Birmingham
880860,1664708400,75,Stoke City,0,4,38,Watford
880861,1664632800,746,Sunderland,0,0,59,Preston
880862,1664632800,60,West Brom,2,3,76,Swansea
880863,1664909100,56,Bristol City,0,0,1346,Coventry
880864,1664910000,43,Cardiff,1,0,67,Blackburn
880865,1664909100,1359,Luton,3,3,37,Huddersfield
880866,1664909100,62,Sheffield Utd,0,1,72,QPR
880867,1664909100,746,Sunderland,0,0,1356,Blackpool
880868,1664910000,53,Reading,1,1,71,Norwich
880869,1664995500,44,Burnley,1,1,75,Stoke City
880870,1664995500,64,Hull City,2,1,61,Wigan
880871,1664995500,70,Middlesbrough,1,0,54,Birmingham
880872,1664996400,59,Preston,1,0,60,West Brom
880873,1664995500,73,Rotherham,1,1,58,Millwall
880874,1664995500,38,Watford,1,2,76,Swansea
880875,1665237600,54,Birmingham,3,0,56,Bristol City
880876,1665237600,67,Blackburn,3,0,73,Rotherham
880877,1665237600,1356,Blackpool,3,1,38,Watford
880878,1665237600,1346,Coventry,0,1,44,Burnley
880879,1665313200,37,Huddersfield,2,0,64,Hull City
880880,1665237600,58,Millwall,2,0,70,Middlesbrough
880881,1665237600,71,Norwich,2,3,59,Preston
880882,1665169200,72,QPR,2,1,53,Reading
880883,1665237600,75,Stoke City,3,1,62,Sheffield Utd
880884,1665237600,76,Swansea,2,1,746,Sunderland
880885,1665237600,60,West Brom,0,0,1359,Luton
880886,1665237600,61,Wigan,1,3,43,Cardiff
880887,1665842400,56,Bristol City,1,2,58,Millwall
880888,1665842400,44,Burnley,4,0,76,Swansea
880889,1665842400,43,Cardiff,0,1,1346,Coventry
880890,1665928800,64,Hull City,0,2,54,Birmingham
880891,1665833400,1359,Luton,3,1,72,QPR
880892,1665842400,70,Middlesbrough,1,2,67,Blackburn
880893,1665842400,59,Preston,0,2,75,Stoke City
880894,1665842400,53,Reading,0,2,60,West Brom
880895,1665833400,73,Rotherham,2,1,37,Huddersfield
880896,1665842400,62,Sheffield Utd,3,3,1356,Blackpool
880897,1665842400,746,Sunderland,2,1,61,Wigan
880898,1665859500,38,Watford,2,1,71,Norwich
880899,1666119600,67,Blackburn,2,0,746,Sunderland
880900,1666118700,37,Huddersfield,0,1,59,Preston
880901,1666118700,71,Norwich,0,1,1359,Luton
880902,1666118700,76,Swansea,3,2,53,Reading
880903,1666119600,75,Stoke City,0,1,73,Rotherham
880904,1666119600,60,West Brom,0,2,56,Bristol City
880905,1666205100,54,Birmingham,1,1,44,Burnley
880906,1666205100,1356,Blackpool,1,3,64,Hull City
880907,1666205100,1346,Coventry,1,0,62,Sheffield Utd
880908,1666206000,58,Millwall,3,0,38,Watford
880909,1666205100,72,QPR,3,0,43,Cardiff
880910,1666205100,61,Wigan,1,4,70,Middlesbrough
880911,1666447200,67,Blackburn,2,1,54,Birmingham
880912,1666438200,1356,Blackpool,4,2,59,Preston
880913,1666447200,70,Middlesbrough,0,0,37,Huddersfield
880914,1666447200,58,Millwall,2,1,60,West Brom
880915,1666447200,72,QPR,2,1,61,Wigan
880916,1666447200,53,Reading,2,0,56,Bristol City
880917,1666447200,73,Rotherham,2,4,64,Hull City
880918,1666447200,62,Sheffield Utd,2,2,71,Norwich
880919,1666447200,75,Stoke City,0,2,1346,Coventry
880920,1666447200,746,Sunderland,2,4,44,Burnley
880921,1666522800,76,Swansea,2,0,43,Cardiff
880922,1666522800,38,Watford,4,0,1359,Luton
880923,1666983600,54,Birmingham,2,0,72,QPR
880924,1667041200,56,Bristol City,1,1,76,Swansea
880925,1667052000,44,Burnley,2,1,53,Reading
880926,1667052000,43,Cardiff,1,0,73,Rotherham
880927,1667052000,1346,Coventry,1,2,1356,Blackpool
880928,1667052000,37,Huddersfield,1,0,58,Millwall
