fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
1040366,1691520300,1357,Plymouth,2,0,1373,Leyton Orient
1040367,1691520300,1378,Forest Green,1,3,1355,Portsmouth
1040368,1691519400,76,Swansea,3,0,1337,Northampton
1040369,1691520300,1364,Exeter City,2,1,1362,Crawley Town
1040370,1691606700,57,Ipswich,2,0,1334,Bristol Rovers
1040371,1691519400,1367,Newport County,3,1,1335,Charlton
1040372,1691520300,1368,Stevenage,1,1,38,Watford
1040373,1691520300,1372,Cheltenham,0,2,54,Birmingham
1040374,1691520300,1835,Sutton Utd,2,2,1370,Cambridge United
1040375,1691520300,1348,Milton Keynes Dons,0,2,1358,Wycombe
1040376,1691520300,58,Millwall,0,4,53,Reading
1040377,1691606700,1333,AFC Wimbledon,2,1,1346,Coventry
1040378,1691606700,56,Bristol City,5,1,1338,Oxford United
1040379,1691520300,1347,Gillingham,3,1,41,Southampton
1040380,1692211500,72,QPR,0,1,71,Norwich
1040381,1691519400,1350,Peterborough,1,1,1353,Swindon Town
1040382,1691606700,43,Cardiff,2,2,1361,Colchester
1040383,1691520300,68,Bolton,1,0,1819,Barrow
1040384,1691520300,64,Hull City,1,2,1354,Doncaster
1040385,1691519400,1374,Mansfield Town,2,0,1365,Grimsby
1040386,1691520300,75,Stoke City,2,1,60,West Brom
1040387,1691520300,74,Sheffield Wednesday,1,1,4686,Stockport County
1040388,1691606700,63,Leeds,2,1,1352,Shrewsbury
1040389,1691520300,59,Preston,2,2,1844,Salford City
1040390,1691520300,73,Rotherham,1,1,1375,Morecambe
1040391,1691520300,1842,Harrogate Town,1,0,1371,Carlisle
1040392,1691607600,748,Burton Albion,0,2,46,Leicester
1040393,1691520300,1360,Accrington ST,1,1,1343,Bradford
1040394,1691520300,69,Derby,0,2,1356,Blackpool
1040395,1691520300,1351,Port Vale,3,2,1336,Fleetwood Town
1040396,1691520300,747,Barnsley,2,2,1381,Tranmere
1040397,1691520300,67,Blackburn,4,3,1342,Walsall
1040398,1691517600,37,Huddersfield,2,3,70,Middlesbrough
1040399,1691521200,1837,Wrexham,0,0,61,Wigan
1040400,1691520300,746,Sunderland,1,1,1363,Crewe
1040401,1691520300,1376,Notts County,0,2,1379,Lincoln
1115625,1693334700,1381,Tranmere,0,2,46,Leicester
1115626,1693335600,1844,Salford City,1,1,63,Leeds
1115627,1693421100,1842,Harrogate Town,0,8,67,Blackburn
1115628,1693334700,75,Stoke City,6,1,73,Rotherham
1115629,1693334700,1837,Wrexham,1,1,1343,Bradford
1115630,1693422000,1354,Doncaster,1,2,45,Everton
1115631,1693334700,68,Bolton,1,3,70,Middlesbrough
1115632,1693334700,1351,Port Vale,0,0,1363,Crewe
1115633,1693421100,65,Nottingham Forest,0,1,44,Burnley
1115634,1693334700,74,Sheffield Wednesday,1,1,1374,Mansfield Town
1115635,1693334700,39,Wolves,5,0,1356,Blackpool
1115636,1693421100,62,Sheffield Utd,0,0,1379,Lincoln
1115637,1693334700,1357,Plymouth,2,4,52,Crystal Palace
1115638,1693335600,53,Reading,2,2,57,Ipswich
1115639,1693334700,1355,Portsmouth,1,1,1350,Peterborough
1115640,1693334700,1359,Luton,3,2,1347,Gillingham
1115641,1693333800,76,Swansea,2,3,35,Bournemouth
1115642,1693334700,36,Fulham,1,1,47,Tottenham
1115643,1693334700,1364,Exeter City,1,1,1368,Stevenage
1115644,1693334700,1358,Wycombe,0,1,1835,Sutton Utd
1115645,1693334700,54,Birmingham,1,3,43,Cardiff
1115646,1693334700,1367,Newport County,1,1,55,Brentford
1115647,1693421100,49,Chelsea,2,1,1333,AFC Wimbledon
1119718,1693334700,56,Bristol City,0,1,71,Norwich
1125698,1695753900,57,Ipswich,3,2,39,Wolves
1125699,1695753900,1364,Exeter City,1,0,1359,Luton
1125700,1695840300,66,Aston Villa,1,2,45,Everton
1125701,1695754800,33,Manchester United,3,0,52,Crystal Palace
1125702,1695753900,1351,Port Vale,2,1,1835,Sutton Utd
1125703,1695753900,1343,Bradford,0,2,70,Middlesbrough
1125704,1695840300,35,Bournemouth,2,0,75,Stoke City
1125705,1695840300,1379,Lincoln,0,1,48,West Ham
1125706,1695840300,55,Brentford,0,1,42,Arsenal
1125707,1695840300,49,Chelsea,1,0,51,Brighton
1125708,1695753900,1844,Salford City,0,4,44,Burnley
1125709,1695840300,36,Fulham,2,1,71,Norwich
1125710,1695840300,67,Blackburn,5,2,43,Cardiff
1125711,1695840300,40,Liverpool,3,1,46,Leicester
1125712,1695841200,34,Newcastle,1,0,50,Manchester City
1125713,1695753900,1374,Mansfield Town,2,2,1350,Peterborough
