id,team_name,league,elo_rating,games,prev_elos
50,Manchester City,39,2157.96,104,"{1691780400: 2161.08, 1692471600: 2171.41, 1693141200: 2174.79, 1693663200: 2177.63, 1694872800: 2180.55, 1695477600: 2188.11, 1695841200: 2189.65, 1696082400: 2176.84, 1696779000: 2159.3500000000004, 1697896800: 2148.9800000000005, 1698593400: 2151.9800000000005, 1699110000: 2165.5900000000006, 1699806600: 2166.890000000001, 1700915400: 2162.9300000000007}"
40,Liverpool,39,2078.56,106,"{1691940600: 2038.94, 1692453600: 2035.66, 1693150200: 2037.95, 1693746000: 2049.48, 1694863800: 2058.12, 1695560400: 2065.65, 1695840300: 2070.42, 1696091400: 2073.87, 1696770000: 2063.5499999999997, 1697887800: 2063.0699999999997, 1698588000: 2066.0499999999997, 1698867900: 2069.47, 1699201800: 2072.7, 1699797600: 2066.24, 1700915400: 2073.5899999999997}"
42,Arsenal,39,2042.08,98,"{1691839800: 2015.4, 1692644400: 2017.8200000000002, 1693058400: 2025.9900000000002, 1693755000: 2019.1500000000003, 1694964600: 2028.8700000000003, 1695560400: 2033.3200000000004, 1695840300: 2028.6700000000003, 1696082400: 2038.1600000000003, 1696779000: 2046.4400000000003, 1697905800: 2056.8100000000004, 1698501600: 2054.9700000000003, 1698867000: 2057.3700000000003, 1699119000: 2037.1600000000003, 1699714800: 2029.7800000000002, 1700933400: 2032.1800000000003}"
34,Newcastle,39,2022.09,98,"{1691857800: 1983.3, 1692471600: 1994.8999999999999, 1693150200: 1991.5199999999998, 1693672200: 1979.9899999999998, 1694881800: 1967.4899999999998, 1695569400: 1974.0699999999997, 1695841200: 1989.2199999999998, 1696082400: 2002.0299999999997, 1696770000: 2007.1599999999999, 1697896800: 2006.33, 1698510600: 2013.6599999999999, 1698869700: 2010.4899999999998, 1699119000: 2030.4599999999998, 1699723800: 2037.84, 1700924400: 2013.23}"
66,Aston Villa,39,1972.25,93,"{1691857800: 1943.73, 1692536400: 1932.13, 1693141200: 1937.99, 1693746000: 1955.6200000000001, 1694872800: 1946.98, 1695560400: 1955.17, 1695840300: 1963.5, 1696073400: 1946.4, 1696770000: 1961.65, 1697988600: 1959.19, 1698588000: 1968.38, 1699192800: 1971.8100000000002, 1699797600: 1952.65, 1701007200: 1959.6100000000001}"
33,Manchester United,39,1970.73,105,"{1692039600: 2000.21, 1692462600: 2003.06, 1693058400: 1988.3799999999999, 1693755000: 1991.29, 1694872800: 1981.57, 1695495600: 1961.1899999999998, 1695754800: 1970.7799999999997, 1696082400: 1978.5999999999997, 1696687200: 1962.6199999999997, 1697914800: 1968.2699999999998, 1698593400: 1973.4899999999998, 1698869700: 1959.8799999999999, 1699101000: 1939.9099999999999, 1699714800: 1950.6699999999998, 1701016200: 1953.2499999999998}"
47,Tottenham,39,1941.08,100,"{1691931600: 1906.73, 1692462600: 1910.42, 1693049400: 1925.1000000000001, 1693334700: 1934.8600000000001, 1693663200: 1935.2700000000002, 1694872800: 1955.2500000000002, 1695560400: 1958.1700000000003, 1696091400: 1962.8200000000004, 1696678200: 1973.1400000000003, 1698087600: 1978.8600000000004, 1698433200: 1984.7100000000003, 1699300800: 1993.6000000000004, 1699705800: 1966.0400000000004, 1701007200: 1953.7200000000005}"
51,Brighton,39,1939.87,100,"{1691848800: 1942.19, 1692453600: 1948.18, 1693067400: 1962.42, 1693672200: 1938.54, 1694872800: 1951.04, 1695560400: 1971.42, 1695840300: 1974.8600000000001, 1696073400: 1962.2, 1696770000: 1946.95, 1697896800: 1947.43, 1698588000: 1944.43, 1699110000: 1938.76, 1699797600: 1938.36, 1700924400: 1930.78}"
55,Brentford,39,1918.97,94,"{1691931600: 1941.31, 1692453600: 1937.62, 1693058400: 1956.9599999999998, 1693663200: 1951.36, 1694881800: 1943.7199999999998, 1695486600: 1937.1399999999999, 1695840300: 1910.9599999999998, 1696165200: 1901.4699999999998, 1696687200: 1900.7999999999997, 1697896800: 1895.1499999999996, 1698492600: 1911.9399999999996, 1699110000: 1930.4899999999996, 1699797600: 1936.2199999999996, 1700933400: 1928.8699999999997}"
49,Chelsea,39,1916.34,103,"{1691940600: 1820.68, 1692545400: 1827.24, 1692990000: 1803.63, 1693663200: 1824.6000000000001, 1694955600: 1795.5100000000002, 1695560400: 1796.7600000000002, 1695840300: 1780.0900000000001, 1696273200: 1805.41, 1696687200: 1848.0700000000002, 1697905800: 1891.9900000000002, 1698492600: 1895.6800000000003, 1698867900: 1858.5900000000004, 1699300800: 1866.1200000000003, 1699806600: 1921.2400000000002, 1700924400: 1925.2000000000003}"
