fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
719349,1628879400,163,Borussia Monchengladbach,1,1,157,Bayern Munich
719350,1628958600,165,Borussia Dortmund,5,2,169,Eintracht Frankfurt
719351,1628947800,161,VfL Wolfsburg,1,0,176,VfL BOCHUM
719352,1628947800,182,Union Berlin,1,1,168,Bayer Leverkusen
719353,1628947800,172,VfB Stuttgart,5,1,178,SpVgg Greuther Furth
719354,1629034200,164,FSV Mainz 05,1,0,173,RB Leipzig
719355,1628947800,170,FC Augsburg,0,4,167,1899 Hoffenheim
719356,1628947800,188,Arminia Bielefeld,0,0,160,SC Freiburg
719357,1629041400,192,FC Koln,3,1,159,Hertha Berlin
719358,1629646200,157,Bayern Munich,3,2,192,FC Koln
719359,1629484200,173,RB Leipzig,4,0,172,VfB Stuttgart
719360,1629552600,169,Eintracht Frankfurt,0,0,170,FC Augsburg
719361,1629563400,168,Bayer Leverkusen,4,0,163,Borussia Monchengladbach
719362,1629552600,160,SC Freiburg,2,1,165,Borussia Dortmund
719363,1629639000,167,1899 Hoffenheim,2,2,182,Union Berlin
719364,1629552600,159,Hertha Berlin,1,2,161,VfL Wolfsburg
719365,1629552600,176,VfL BOCHUM,2,0,164,FSV Mainz 05
719366,1629552600,178,SpVgg Greuther Furth,1,1,188,Arminia Bielefeld
719367,1630168200,157,Bayern Munich,5,0,159,Hertha Berlin
719368,1630089000,165,Borussia Dortmund,3,2,167,1899 Hoffenheim
719369,1630251000,161,VfL Wolfsburg,1,0,173,RB Leipzig
719370,1630243800,182,Union Berlin,2,1,163,Borussia Monchengladbach
719371,1630157400,172,VfB Stuttgart,2,3,160,SC Freiburg
719372,1630157400,164,FSV Mainz 05,3,0,178,SpVgg Greuther Furth
719373,1630157400,170,FC Augsburg,1,4,168,Bayer Leverkusen
719374,1630157400,188,Arminia Bielefeld,1,1,169,Eintracht Frankfurt
719375,1630157400,192,FC Koln,2,1,176,VfL BOCHUM
719376,1631377800,173,RB Leipzig,1,4,157,Bayern Munich
719377,1631453400,169,Eintracht Frankfurt,1,1,172,VfB Stuttgart
719378,1631367000,168,Bayer Leverkusen,3,4,165,Borussia Dortmund
719379,1631367000,182,Union Berlin,0,0,170,FC Augsburg
719380,1631467800,163,Borussia Monchengladbach,3,1,188,Arminia Bielefeld
719381,1631367000,160,SC Freiburg,1,1,192,FC Koln
719382,1631367000,167,1899 Hoffenheim,0,2,164,FSV Mainz 05
719383,1631460600,176,VfL BOCHUM,1,3,159,Hertha Berlin
