fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
719043,1627065000,174,FC Schalke 04,1,3,175,Hamburger SV
719044,1627151400,162,Werder Bremen,1,1,166,Hannover 96
719045,1627126200,181,SV Darmstadt 98,0,2,177,Jahn Regensburg
719046,1627126200,180,FC Heidenheim,0,0,185,SC Paderborn 07
719047,1627212600,186,FC St. Pauli,3,0,191,Holstein Kiel
719048,1627212600,171,FC Nurnberg,0,0,190,Erzgebirge AUE
719049,1627212600,189,SV Sandhausen,0,2,158,Fortuna Dusseldorf
719050,1627126200,183,Dynamo Dresden,3,0,184,FC Ingolstadt 04
719051,1627126200,1321,Hansa Rostock,1,3,785,Karlsruher SC
719052,1627817400,191,Holstein Kiel,0,3,174,FC Schalke 04
719053,1627817400,175,Hamburger SV,1,1,183,Dynamo Dresden
719054,1627756200,158,Fortuna Dusseldorf,2,3,162,Werder Bremen
719055,1627662600,785,Karlsruher SC,3,0,181,SV Darmstadt 98
719056,1627662600,185,SC Paderborn 07,2,2,171,FC Nurnberg
719057,1627817400,190,Erzgebirge AUE,0,0,186,FC St. Pauli
719058,1627731000,166,Hannover 96,0,3,1321,Hansa Rostock
719059,1627731000,177,Jahn Regensburg,3,0,189,SV Sandhausen
719060,1627731000,184,FC Ingolstadt 04,1,2,180,FC Heidenheim
719061,1629027000,162,Werder Bremen,1,4,185,SC Paderborn 07
719062,1628872200,174,FC Schalke 04,1,1,190,Erzgebirge AUE
719063,1628940600,191,Holstein Kiel,0,3,177,Jahn Regensburg
719064,1629027000,181,SV Darmstadt 98,6,1,184,FC Ingolstadt 04
719065,1629027000,180,FC Heidenheim,1,1,1321,Hansa Rostock
719066,1628872200,186,FC St. Pauli,3,2,175,Hamburger SV
719067,1628940600,171,FC Nurnberg,2,0,158,Fortuna Dusseldorf
719068,1628940600,189,SV Sandhausen,0,0,785,Karlsruher SC
719069,1628965800,183,Dynamo Dresden,2,0,166,Hannover 96
719070,1629631800,175,Hamburger SV,2,2,181,SV Darmstadt 98
719071,1629477000,158,Fortuna Dusseldorf,2,2,191,Holstein Kiel
719072,1629545400,785,Karlsruher SC,0,0,162,Werder Bremen
719073,1629545400,185,SC Paderborn 07,3,1,186,FC St. Pauli
719074,1629631800,190,Erzgebirge AUE,1,3,189,SV Sandhausen
719075,1629477000,166,Hannover 96,1,0,180,FC Heidenheim
719076,1629545400,177,Jahn Regensburg,4,1,174,FC Schalke 04
719077,1629570600,1321,Hansa Rostock,1,3,183,Dynamo Dresden
719078,1629631800,184,FC Ingolstadt 04,0,0,171,FC Nurnberg
719079,1630236600,162,Werder Bremen,3,0,1321,Hansa Rostock
719080,1630175400,174,FC Schalke 04,3,1,158,Fortuna Dusseldorf
719081,1630150200,191,Holstein Kiel,3,0,190,Erzgebirge AUE
719082,1630150200,181,SV Darmstadt 98,4,0,166,Hannover 96
719083,1630150200,180,FC Heidenheim,0,0,175,Hamburger SV
719084,1630236600,186,FC St. Pauli,2,0,177,Jahn Regensburg
719085,1630081800,171,FC Nurnberg,2,1,785,Karlsruher SC
719086,1630081800,189,SV Sandhausen,0,2,184,FC Ingolstadt 04
719087,1630236600,183,Dynamo Dresden,0,3,185,SC Paderborn 07
719088,1631385000,175,Hamburger SV,2,1,189,SV Sandhausen
719089,1631359800,785,Karlsruher SC,2,2,191,Holstein Kiel
719090,1631446200,180,FC Heidenheim,2,1,183,Dynamo Dresden
719091,1631446200,185,SC Paderborn 07,0,1,174,FC Schalke 04
719092,1631446200,190,Erzgebirge AUE,0,1,158,Fortuna Dusseldorf
719093,1631359800,166,Hannover 96,1,0,186,FC St. Pauli
719094,1631446200,177,Jahn Regensburg,2,2,171,FC Nurnberg
719095,1631446200,1321,Hansa Rostock,2,1,181,SV Darmstadt 98
719096,1631359800,184,FC Ingolstadt 04,0,3,162,Werder Bremen
719097,1631989800,162,Werder Bremen,0,2,175,Hamburger SV
719098,1631896200,174,FC Schalke 04,1,2,785,Karlsruher SC
719099,1631964600,191,Holstein Kiel,0,3,166,Hannover 96
719100,1631964600,158,Fortuna Dusseldorf,1,1,177,Jahn Regensburg
719101,1632051000,181,SV Darmstadt 98,1,0,183,Dynamo Dresden
719102,1632051000,186,FC St. Pauli,4,1,184,FC Ingolstadt 04
719103,1631896200,171,FC Nurnberg,1,0,1321,Hansa Rostock
719104,1632051000,190,Erzgebirge AUE,1,4,185,SC Paderborn 07
719105,1631964600,189,SV Sandhausen,1,3,180,FC Heidenheim
719106,1632655800,175,Hamburger SV,2,2,171,FC Nurnberg
719107,1632569400,785,Karlsruher SC,1,3,186,FC St. Pauli
719108,1632501000,180,FC Heidenheim,2,1,181,SV Darmstadt 98
719109,1632569400,185,SC Paderborn 07,1,2,191,Holstein Kiel
719110,1632655800,166,Hannover 96,1,2,189,SV Sandhausen
719111,1632501000,177,Jahn Regensburg,3,2,190,Erzgebirge AUE
719112,1632655800,183,Dynamo Dresden,3,0,162,Werder Bremen
719113,1632594600,1321,Hansa Rostock,0,2,174,FC Schalke 04
719114,1632569400,184,FC Ingolstadt 04,1,2,158,Fortuna Dusseldorf
719115,1633105800,162,Werder Bremen,3,0,180,FC Heidenheim
719116,1633260600,174,FC Schalke 04,3,0,184,FC Ingolstadt 04
719117,1633174200,191,Holstein Kiel,0,2,1321,Hansa Rostock
719118,1633174200,158,Fortuna Dusseldorf,2,3,185,SC Paderborn 07
719119,1633260600,186,FC St. Pauli,3,0,183,Dynamo Dresden
719120,1633199400,171,FC Nurnberg,0,0,166,Hannover 96
719121,1633105800,190,Erzgebirge AUE,1,1,175,Hamburger SV
719122,1633174200,177,Jahn Regensburg,2,2,785,Karlsruher SC
719123,1633260600,189,SV Sandhausen,1,6,181,SV Darmstadt 98
719124,1634409000,175,Hamburger SV,1,1,158,Fortuna Dusseldorf
719125,1634383800,785,Karlsruher SC,2,1,190,Erzgebirge AUE
719126,1634470200,181,SV Darmstadt 98,3,0,162,Werder Bremen
719127,1634383800,180,FC Heidenheim,2,4,186,FC St. Pauli
