fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
723337,1628440200,744,Eintracht Braunschweig,1,2,175,Hamburger SV
723338,1628526600,184,FC Ingolstadt 04,2,1,190,Erzgebirge AUE
723339,1628429400,1318,SV Meppen,0,1,159,Hertha Berlin
723340,1628353800,1652,SSV ULM 1846,0,1,171,FC Nurnberg
723341,1629915300,1630,Bremer Sv,0,12,157,Bayern Munich
723342,1628343000,1649,Weiche Flensburg,2,4,191,Holstein Kiel
723343,1628526600,1620,FC Viktoria Koln,2,3,167,1899 Hoffenheim
723344,1628353800,1622,SV Babelsberg 03,2,2,178,SpVgg Greuther Furth
723345,1628534700,745,FC Kaiserslautern,0,1,163,Borussia Monchengladbach
723346,1628343000,9355,Lokomotive Leipzig,0,3,168,Bayer Leverkusen
723347,1628429400,1660,SV Elversberg,2,2,164,FSV Mainz 05
723348,1628343000,189,SV Sandhausen,0,4,173,RB Leipzig
723349,1628526600,1323,Sportfreunde Lotte,1,4,785,Karlsruher SC
723350,1628343000,9325,Bayreuth,3,6,188,Arminia Bielefeld
723351,1628429400,1325,Carl Zeiss Jena,1,1,192,FC Koln
723352,1628429400,1619,FC 08 Villingen,1,4,174,FC Schalke 04
723353,1628440200,784,FC Wurzburger Kickers,0,1,160,SC Freiburg
723354,1628429400,4268,Waldhof Mannheim,2,0,169,Eintracht Frankfurt
723355,1628361900,1319,SV Wehen,0,3,165,Borussia Dortmund
723356,1628343000,16118,Greifswalder FC,2,4,170,FC Augsburg
723357,1628440200,1321,Hansa Rostock,3,2,180,FC Heidenheim
723358,1628343000,1324,VfL Osnabruck,2,0,162,Werder Bremen
723359,1628343000,1631,Eintracht Norderstedt,0,4,166,Hannover 96
723360,1628429400,1657,TuS RW Koblenz,0,3,177,Jahn Regensburg
723361,1628429400,9335,Türkgücü-Ataspor,0,1,182,Union Berlin
723362,1628275500,183,Dynamo Dresden,2,1,185,SC Paderborn 07
723363,1628429400,12888,VfL Oldenburg,0,5,158,Fortuna Dusseldorf
723364,1628343000,9375,Wuppertaler SV,1,2,176,VfL BOCHUM
723365,1628353800,179,FC Magdeburg,2,3,186,FC St. Pauli
723366,1628429400,1313,Preussen Munster,1,3,161,VfL Wolfsburg
723367,1628275500,786,TSV 1860 Munich,1,1,181,SV Darmstadt 98
748868,1628343000,1636,BFC Dynamo,0,6,172,VfB Stuttgart
788036,1635265800,1313,Preussen Munster,1,3,159,Hertha Berlin
788037,1635352200,4268,Waldhof Mannheim,1,3,182,Union Berlin
788038,1635273900,1324,VfL Osnabruck,2,2,160,SC Freiburg
788039,1635265800,1622,SV Babelsberg 03,0,1,173,RB Leipzig
788040,1635265800,786,TSV 1860 Munich,1,0,174,FC Schalke 04
788041,1635360300,166,Hannover 96,3,0,158,Fortuna Dusseldorf
788042,1635352200,176,VfL BOCHUM,2,2,170,FC Augsburg
788043,1635360300,163,Borussia Monchengladbach,5,0,157,Bayern Munich
788044,1635352200,183,Dynamo Dresden,2,3,186,FC St. Pauli
788045,1635265800,167,1899 Hoffenheim,5,1,191,Holstein Kiel
788046,1635360300,177,Jahn Regensburg,3,3,1321,Hansa Rostock
788047,1635273900,171,FC Nurnberg,1,1,175,Hamburger SV
788048,1635273900,164,FSV Mainz 05,3,2,188,Arminia Bielefeld
788049,1635360300,172,VfB Stuttgart,0,2,192,FC Koln
788050,1635271200,165,Borussia Dortmund,2,0,184,FC Ingolstadt 04
788051,1635352200,168,Bayer Leverkusen,1,2,785,Karlsruher SC
810118,1642621500,167,1899 Hoffenheim,1,4,160,SC Freiburg
810119,1642535100,186,FC St. Pauli,2,1,165,Borussia Dortmund
810120,1642527000,786,TSV 1860 Munich,0,1,785,Karlsruher SC
810121,1642613400,166,Hannover 96,3,0,163,Borussia Monchengladbach
810122,1642621500,159,Hertha Berlin,2,3,182,Union Berlin
810123,1642527000,192,FC Koln,1,1,175,Hamburger SV
810124,1642613400,173,RB Leipzig,2,0,1321,Hansa Rostock
810125,1642535100,176,VfL BOCHUM,3,1,164,FSV Mainz 05
832027,1646163900,182,Union Berlin,2,1,186,FC St. Pauli
832028,1646242200,175,Hamburger SV,2,2,785,Karlsruher SC
832029,1646242200,166,Hannover 96,0,4,173,RB Leipzig
832030,1646250300,176,VfL BOCHUM,1,2,160,SC Freiburg
847641,1650393900,175,Hamburger SV,1,3,160,SC Freiburg
847642,1650480300,173,RB Leipzig,2,1,182,Union Berlin
858630,1653156000,160,SC Freiburg,1,1,173,RB Leipzig
