,team_name,league,elo_rating,games
157,Bayern Munich,78,1953.68,35
173,RB Leipzig,78,1901.26,39
168,Bayer Leverkusen,78,1887.37,35
182,Union Berlin,78,1844.41,37
165,Borussia Dortmund,78,1842.49,36
160,SC Freiburg,78,1807.71,38
192,FC Koln,78,1779.95,36
163,Borussia Monchengladbach,78,1751.06,37
164,FSV Mainz 05,78,1715.78,36
161,VfL Wolfsburg,78,1710.24,34
174,FC Schalke 04,79,1705.11,34
162,Werder Bremen,79,1700.61,34
169,Eintracht Frankfurt,78,1681.14,34
170,FC Augsburg,78,1677.18,35
176,VfL BOCHUM,78,1671.27,37
175,Hamburger SV,78,1664.95,40
172,VfB Stuttgart,78,1634.80,35
167,1899 Hoffenheim,78,1633.53,36
181,SV Darmstadt 98,79,1620.05,34
159,Hertha Berlin,78,1606.71,37
186,FC St. Pauli,79,1593.29,37
188,Arminia Bielefeld,78,1581.98,35
185,SC Paderborn 07,79,1578.37,35
158,Fortuna Dusseldorf,79,1566.80,35
189,SV Sandhausen,79,1555.80,35
180,FC Heidenheim,79,1537.63,35
745,FC Kaiserslautern,79,1527.01,3
191,Holstein Kiel,79,1524.24,35
171,FC Nurnberg,79,1519.99,35
178,SpVgg Greuther Furth,78,1519.65,34
166,Hannover 96,79,1510.66,37
1321,Hansa Rostock,79,1495.59,37
785,Karlsruher SC,79,1472.88,36
177,Jahn Regensburg,79,1409.95,35
183,Dynamo Dresden,79,1380.88,38
184,FC Ingolstadt 04,79,1357.21,36
190,Erzgebirge AUE,79,1355.47,35
