fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
872862,1657909800,745,FC Kaiserslautern,2,1,166,Hannover 96
872863,1657969200,178,SpVgg Greuther Furth,2,2,191,Holstein Kiel
872864,1657969200,186,FC St. Pauli,3,2,171,FC Nurnberg
872865,1658057400,185,SC Paderborn 07,5,0,785,Karlsruher SC
872866,1658057400,1321,Hansa Rostock,0,1,180,FC Heidenheim
872867,1657969200,189,SV Sandhausen,2,1,188,Arminia Bielefeld
872868,1657969200,177,Jahn Regensburg,2,0,181,SV Darmstadt 98
872869,1657996200,179,FC Magdeburg,1,2,158,Fortuna Dusseldorf
872870,1658057400,744,Eintracht Braunschweig,0,2,175,Hamburger SV
872871,1658662200,188,Arminia Bielefeld,0,3,177,Jahn Regensburg
872872,1658662200,175,Hamburger SV,0,1,1321,Hansa Rostock
872873,1658507400,181,SV Darmstadt 98,2,1,189,SV Sandhausen
872874,1658574000,180,FC Heidenheim,3,0,744,Eintracht Braunschweig
872875,1658574000,171,FC Nurnberg,2,0,178,SpVgg Greuther Furth
872876,1658574000,191,Holstein Kiel,2,2,745,FC Kaiserslautern
872877,1658507400,158,Fortuna Dusseldorf,2,1,185,SC Paderborn 07
872878,1658601000,166,Hannover 96,2,2,186,FC St. Pauli
872879,1658662200,785,Karlsruher SC,2,3,179,FC Magdeburg
872880,1659717000,178,SpVgg Greuther Furth,1,1,785,Karlsruher SC
872881,1659783600,175,Hamburger SV,1,0,180,FC Heidenheim
872882,1659783600,185,SC Paderborn 07,4,2,166,Hannover 96
872883,1659810600,1321,Hansa Rostock,2,1,188,Arminia Bielefeld
872884,1659717000,189,SV Sandhausen,1,0,158,Fortuna Dusseldorf
872885,1659783600,177,Jahn Regensburg,0,0,171,FC Nurnberg
872886,1659871800,179,FC Magdeburg,1,2,191,Holstein Kiel
872887,1659871800,744,Eintracht Braunschweig,0,1,181,SV Darmstadt 98
872888,1659871800,745,FC Kaiserslautern,2,1,186,FC St. Pauli
