fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
1048881,1692383400,162,Werder Bremen,0,4,157,Bayern Munich
1048882,1692462600,165,Borussia Dortmund,1,0,192,FC Koln
1048883,1692538200,182,Union Berlin,4,1,164,FSV Mainz 05
1048884,1692451800,168,Bayer Leverkusen,3,2,173,RB Leipzig
1048885,1692545400,169,Eintracht Frankfurt,1,0,181,SV Darmstadt 98
1048886,1692451800,161,VfL Wolfsburg,2,0,180,FC Heidenheim
1048887,1692451800,167,1899 Hoffenheim,1,2,160,SC Freiburg
1048888,1692451800,170,FC Augsburg,4,4,163,Borussia Monchengladbach
1048889,1692451800,172,VfB Stuttgart,5,0,176,VfL BOCHUM
1048890,1693150200,157,Bayern Munich,3,1,170,FC Augsburg
1048891,1692988200,173,RB Leipzig,5,1,172,VfB Stuttgart
1048892,1693056600,160,SC Freiburg,1,0,162,Werder Bremen
1048893,1693143000,164,FSV Mainz 05,1,1,169,Eintracht Frankfurt
1048894,1693067400,163,Borussia Monchengladbach,0,3,168,Bayer Leverkusen
1048895,1693056600,192,FC Koln,1,2,161,VfL Wolfsburg
1048896,1693056600,176,VfL BOCHUM,1,1,165,Borussia Dortmund
1048897,1693056600,180,FC Heidenheim,2,3,167,1899 Hoffenheim
1048898,1693056600,181,SV Darmstadt 98,1,4,182,Union Berlin
1048899,1693593000,165,Borussia Dortmund,2,2,180,FC Heidenheim
1048900,1693755000,182,Union Berlin,0,3,173,RB Leipzig
1048901,1693661400,168,Bayer Leverkusen,5,1,181,SV Darmstadt 98
1048902,1693747800,169,Eintracht Frankfurt,1,1,192,FC Koln
1048903,1693672200,163,Borussia Monchengladbach,1,2,157,Bayern Munich
1048904,1693661400,167,1899 Hoffenheim,3,1,161,VfL Wolfsburg
1048905,1693661400,162,Werder Bremen,4,0,164,FSV Mainz 05
1048906,1693661400,170,FC Augsburg,2,2,176,VfL BOCHUM
1048907,1693661400,172,VfB Stuttgart,5,0,160,SC Freiburg
1048908,1694802600,157,Bayern Munich,2,2,168,Bayer Leverkusen
1048909,1694871000,173,RB Leipzig,3,0,170,FC Augsburg
1048910,1694871000,160,SC Freiburg,2,4,165,Borussia Dortmund
1048911,1694871000,161,VfL Wolfsburg,2,1,182,Union Berlin
