id,team_name,league,elo_rating,games,prev_elos
157,Bayern Munich,78,2026.35,84,"{1692383400: 1968.32, 1693150200: 1976.29, 1693672200: 1978.09, 1694802600: 1983.31, 1695475800: 1978.24, 1696091400: 1982.05, 1696779000: 1985.24, 1697905800: 1990.65, 1698499800: 1995.9, 1699119000: 1998.71, 1699713000: 2021.15, 1700854200: 2022.99}"
168,Bayer Leverkusen,78,1956.31,81,"{1692451800: 1826.51, 1693067400: 1849.34, 1693661400: 1882.4299999999998, 1694802600: 1889.3799999999999, 1695562200: 1899.51, 1696080600: 1909.69, 1696771800: 1918.8300000000002, 1697895000: 1922.64, 1698597000: 1931.73, 1699108200: 1935.67, 1699799400: 1944.15, 1700922600: 1947.67}"
173,RB Leipzig,78,1945.23,92,"{1692451800: 1976.03, 1692988200: 1964.61, 1693755000: 1970.62, 1694871000: 1988.3899999999999, 1695475800: 1990.3, 1695840300: 1995.02, 1696091400: 1996.98, 1696685400: 1993.79, 1697895000: 1985.02, 1698510600: 1990.54, 1698771600: 1994.05, 1699108200: 1980.12, 1699813800: 1954.85, 1700922600: 1958.6899999999998}"
165,Borussia Dortmund,78,1941.26,86,"{1692462600: 1939.02, 1693056600: 1942.32, 1693593000: 1937.32, 1694871000: 1929.32, 1695475800: 1943.12, 1696012200: 1946.9899999999998, 1696685400: 1960.2499999999998, 1697826600: 1964.7699999999998, 1698589800: 1966.1099999999997, 1698858000: 1964.6599999999996, 1699119000: 1968.0599999999997, 1699713000: 1945.6199999999997, 1700922600: 1936.5499999999997}"
172,VfB Stuttgart,78,1918.96,88,"{1692451800: 1756.33, 1692988200: 1776.9199999999998, 1693661400: 1764.8999999999999, 1694871000: 1801.84, 1695407400: 1829.4499999999998, 1696080600: 1836.5099999999998, 1696685400: 1861.5699999999997, 1697895000: 1879.1399999999996, 1698499800: 1911.2899999999997, 1698771600: 1895.0399999999997, 1699201800: 1900.8599999999997, 1699713000: 1878.0899999999997, 1700933400: 1896.2299999999998}"
169,Eintracht Frankfurt,78,1821.19,85,"{1692545400: 1787.53, 1693143000: 1794.3899999999999, 1693747800: 1795.3899999999999, 1694881800: 1786.3799999999999, 1695569400: 1785.06, 1696080600: 1778.86, 1696786200: 1757.9499999999998, 1697895000: 1775.2899999999997, 1698589800: 1815.3699999999997, 1699108200: 1818.2699999999998, 1699806600: 1849.5899999999997, 1700933400: 1843.9199999999996}"
186,FC St. Pauli,79,1768.65,87,"{1690628400: 1698.85, 1691233200: 1711.23, 1692442800: 1703.43, 1693135800: 1699.88, 1693585800: 1688.94, 1694950200: 1679.28, 1695493800: 1698.26, 1696098600: 1713.43, 1696703400: 1731.68, 1697886000: 1741.21, 1698490800: 1738.74, 1698771600: 1744.86, 1699032600: 1750.56, 1699637400: 1773.78, 1700913600: 1759.45}"
161,VfL Wolfsburg,78,1760.15,83,"{1692451800: 1768.62, 1693056600: 1784.9799999999998, 1693661400: 1808.7099999999998, 1694871000: 1777.35, 1695475800: 1795.23, 1696080600: 1787.49, 1696685400: 1808.4, 1697895000: 1790.8300000000002, 1698499800: 1772.66, 1698771600: 1749.93, 1699194600: 1777.78, 1699644600: 1765.76, 1700922600: 1733.23}"
167,1899 Hoffenheim,78,1753.43,85,"{1692451800: 1684.88, 1693056600: 1666.5600000000002, 1693661400: 1692.9600000000003, 1694871000: 1724.3200000000002, 1695475800: 1763.63, 1696012200: 1806.47, 1696696200: 1779.95, 1697895000: 1796.8, 1698499800: 1756.72, 1698858000: 1789.21, 1699108200: 1782.41, 1699713000: 1765.45, 1701016200: 1764.74}"
163,Borussia Monchengladbach,78,1735.21,85,"{1692451800: 1732.5, 1693067400: 1730.41, 1693672200: 1697.3200000000002, 1694964600: 1686.88, 1695475800: 1686.43, 1696080600: 1676.98, 1696617000: 1713.79, 1697981400: 1703.27, 1698499800: 1676.95, 1698781500: 1688.96, 1699108200: 1705.29, 1699644600: 1712.1, 1700922600: 1744.6299999999999}"
