fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
747058,1629657000,506,Benevento,4,3,878,Alessandria
747059,1629570600,510,Cittadella,1,0,1584,Vicenza Virtus
747060,1629657000,520,Cremonese,3,0,867,Lecce
747061,1629657000,501,Crotone,2,2,895,como
747062,1629484200,512,Frosinone,2,2,523,Parma
747063,1629657000,801,Pisa,1,0,493,Spal
747064,1629561600,862,Pordenone,0,1,524,Perugia
747065,1629648000,1692,Reggina,0,0,1579,Monza
747066,1629648000,516,Ternana,0,2,518,Brescia
747067,1630252800,510,Cittadella,4,2,501,Crotone
747068,1630166400,1584,Vicenza Virtus,0,2,512,Frosinone
747069,1630261800,867,Lecce,1,1,895,como
747070,1630261800,1579,Monza,1,0,520,Cremonese
747071,1630261800,523,Parma,1,0,506,Benevento
747072,1630175400,524,Perugia,2,3,507,Ascoli
747073,1630080000,801,Pisa,2,0,878,Alessandria
747074,1630261800,1692,Reggina,3,2,516,Ternana
747075,1630261800,493,Spal,5,0,862,Pordenone
747076,1631361600,878,Alessandria,1,3,518,Brescia
747077,1631298600,506,Benevento,0,0,867,Lecce
747078,1631361600,895,como,0,1,507,Ascoli
747079,1631456100,520,Cremonese,2,0,510,Cittadella
747080,1631377800,501,Crotone,1,1,1692,Reggina
747081,1631361600,512,Frosinone,0,0,524,Perugia
747082,1631471400,862,Pordenone,0,4,523,Parma
747083,1631361600,493,Spal,1,1,1579,Monza
747084,1631369700,516,Ternana,1,4,801,Pisa
747085,1631966400,507,Ascoli,0,2,506,Benevento
747086,1631903400,518,Brescia,2,2,501,Crotone
747087,1631982600,510,Cittadella,1,0,862,Pordenone
747088,1631894400,895,como,0,2,512,Frosinone
747089,1631974500,1584,Vicenza Virtus,1,3,801,Pisa
747090,1631966400,867,Lecce,3,2,878,Alessandria
747091,1631966400,1579,Monza,1,1,516,Ternana
747092,1632076200,523,Parma,1,2,520,Cremonese
747093,1631966400,1692,Reggina,2,1,493,Spal
747094,1632240000,878,Alessandria,1,3,507,Ascoli
747095,1632240000,506,Benevento,4,1,510,Cittadella
747096,1632335400,520,Cremonese,0,3,524,Perugia
747097,1632249000,501,Crotone,0,3,867,Lecce
747098,1632162600,512,Frosinone,2,2,518,Brescia
747099,1632249000,801,Pisa,2,1,1579,Monza
747100,1632249000,862,Pordenone,1,1,1692,Reggina
747101,1632249000,493,Spal,3,2,1584,Vicenza Virtus
747102,1632326400,516,Ternana,3,1,523,Parma
747103,1632571200,507,Ascoli,2,3,518,Brescia
747104,1632571200,510,Cittadella,1,2,867,Lecce
747105,1632571200,895,como,1,1,506,Benevento
747106,1632681000,1584,Vicenza Virtus,0,1,520,Cremonese
747107,1632571200,1579,Monza,3,1,862,Pordenone
747108,1632665700,523,Parma,1,1,801,Pisa
747109,1632657600,524,Perugia,1,1,878,Alessandria
747110,1632579300,1692,Reggina,0,0,512,Frosinone
747111,1632681000,516,Ternana,1,0,493,Spal
747112,1633285800,506,Benevento,0,0,524,Perugia
747113,1633262400,518,Brescia,2,4,895,como
747114,1633176000,520,Cremonese,2,0,516,Ternana
747115,1633176000,501,Crotone,2,2,507,Ascoli
747116,1633176000,512,Frosinone,0,1,510,Cittadella
747117,1633113000,867,Lecce,3,0,1579,Monza
747118,1633184100,801,Pisa,2,0,1692,Reggina
747119,1633270500,862,Pordenone,2,4,1584,Vicenza Virtus
747120,1633192200,493,Spal,2,2,523,Parma
747121,1634385600,507,Ascoli,1,1,867,Lecce
747122,1634495400,510,Cittadella,0,0,493,Spal
747123,1634401800,895,como,2,0,878,Alessandria
747124,1634472000,520,Cremonese,1,1,506,Benevento
747125,1634385600,501,Crotone,2,1,801,Pisa
747126,1634385600,1584,Vicenza Virtus,0,1,1692,Reggina
747127,1634480100,523,Parma,0,0,1579,Monza
747128,1634393700,524,Perugia,1,0,518,Brescia
747129,1634385600,862,Pordenone,1,3,516,Ternana
747130,1634927400,878,Alessandria,1,0,501,Crotone
747131,1635006600,518,Brescia,1,0,520,Cremonese
747132,1634998500,512,Frosinone,2,1,507,Ascoli
747133,1634990400,867,Lecce,0,0,524,Perugia
747134,1634990400,1579,Monza,1,0,510,Cittadella
747135,1635076800,801,Pisa,1,1,862,Pordenone
747136,1635084900,1692,Reggina,2,1,523,Parma
747137,1635100200,493,Spal,1,1,895,como
747138,1634990400,516,Ternana,5,0,1584,Vicenza Virtus
747139,1635436800,878,Alessandria,1,1,512,Frosinone
747140,1635436800,507,Ascoli,0,1,493,Spal
747141,1635436800,518,Brescia,1,1,867,Lecce
747142,1635445800,510,Cittadella,1,2,523,Parma
747143,1635445800,895,como,1,0,862,Pordenone
747144,1635445800,520,Cremonese,1,1,801,Pisa
747145,1635445800,501,Crotone,0,2,506,Benevento
747146,1635359400,1584,Vicenza Virtus,1,1,1579,Monza
747147,1635445800,524,Perugia,0,2,1692,Reggina
747148,1635766200,506,Benevento,0,1,518,Brescia
747149,1635775200,512,Frosinone,2,1,501,Crotone
747150,1635775200,1579,Monza,1,0,878,Alessandria
747151,1635786000,523,Parma,1,0,1584,Vicenza Virtus
747152,1635786000,801,Pisa,1,1,507,Ascoli
747153,1635786000,862,Pordenone,2,2,520,Cremonese
747154,1635775200,1692,Reggina,0,1,510,Cittadella
747155,1635775200,493,Spal,1,2,524,Perugia
747156,1635775200,516,Ternana,1,2,895,como
747157,1636203600,878,Alessandria,0,2,516,Ternana
747158,1636203600,507,Ascoli,2,1,1584,Vicenza Virtus
747159,1636219800,506,Benevento,1,4,512,Frosinone
747160,1636211700,518,Brescia,1,0,862,Pordenone
747161,1636313400,510,Cittadella,2,0,801,Pisa
747162,1636203600,895,como,4,1,524,Perugia
747163,1636203600,520,Cremonese,1,1,493,Spal
747164,1636298100,501,Crotone,1,1,1579,Monza
747165,1636290000,867,Lecce,4,0,523,Parma
747166,1637413200,512,Frosinone,0,0,867,Lecce
747167,1637429400,1584,Vicenza Virtus,2,3,518,Brescia
747168,1637507700,1579,Monza,3,2,895,como
747169,1637421300,524,Perugia,2,0,501,Crotone
747170,1637523000,801,Pisa,1,0,506,Benevento
747171,1637413200,862,Pordenone,0,1,507,Ascoli
747172,1637499600,1692,Reggina,1,2,520,Cremonese
747173,1637413200,493,Spal,2,3,878,Alessandria
747174,1637413200,516,Ternana,1,1,510,Cittadella
747175,1638018000,878,Alessandria,1,0,520,Cremonese
747176,1638018000,507,Ascoli,1,1,1579,Monza
747177,1638018000,506,Benevento,4,0,1692,Reggina
747178,1638026100,518,Brescia,0,1,801,Pisa
747179,1638127800,895,como,1,1,523,Parma
747180,1637946000,501,Crotone,0,1,1584,Vicenza Virtus
747181,1638018000,512,Frosinone,2,2,862,Pordenone
747182,1637955000,867,Lecce,3,3,516,Ternana
747183,1638034200,524,Perugia,1,1,510,Cittadella
747184,1638387000,510,Cittadella,2,2,895,como
747185,1638291600,520,Cremonese,1,1,512,Frosinone
747186,1638300600,1584,Vicenza Virtus,2,3,506,Benevento
747187,1638378000,523,Parma,0,1,518,Brescia
747188,1638291600,801,Pisa,1,1,524,Perugia
747189,1638300600,862,Pordenone,2,0,878,Alessandria
747190,1638300600,1692,Reggina,1,2,507,Ascoli
747191,1638300600,493,Spal,1,3,867,Lecce
747192,1638214200,516,Ternana,1,0,501,Crotone
747193,1638732600,878,Alessandria,0,1,510,Cittadella
747194,1638709200,507,Ascoli,0,0,523,Parma
747195,1638622800,506,Benevento,2,1,862,Pordenone
747196,1638717300,518,Brescia,0,2,1579,Monza
747197,1638709200,895,como,0,1,801,Pisa
747198,1638622800,501,Crotone,1,2,493,Spal
747199,1638622800,512,Frosinone,1,1,516,Ternana
747200,1638630900,867,Lecce,2,0,1692,Reggina
747201,1638559800,524,Perugia,1,0,1584,Vicenza Virtus
747202,1639227600,510,Cittadella,2,0,507,Ascoli
747203,1639155600,520,Cremonese,3,2,501,Crotone
747204,1639322100,1584,Vicenza Virtus,0,1,895,como
747205,1639227600,1579,Monza,3,2,512,Frosinone
747206,1639314000,523,Parma,1,1,524,Perugia
747207,1639235700,801,Pisa,1,0,867,Lecce
747208,1639337400,1692,Reggina,0,4,878,Alessandria
747209,1639227600,493,Spal,0,2,518,Brescia
747210,1639164600,516,Ternana,0,2,506,Benevento
747211,1639918800,878,Alessandria,0,2,523,Parma
747212,1639832400,507,Ascoli,1,4,520,Cremonese
747213,1642102200,506,Benevento,3,1,1579,Monza
747214,1639918800,518,Brescia,1,1,510,Cittadella
