,team_name,league,elo_rating,games
505,Inter,78,1955.66,43
489,AC Milan,78,1934.99,42
492,Napoli,78,1886.95,39
496,Juventus,78,1843.47,43
487,Lazio,78,1817.16,40
497,AS Roma,78,1815.42,40
494,Udinese,78,1744.23,41
502,Fiorentina,78,1741.98,44
504,Verona,78,1718.66,39
488,Sassuolo,78,1714.10,40
503,Torino,78,1703.09,40
499,Atalanta,78,1697.16,40
1579,Monza,79,1669.20,43
500,Bologna,78,1655.99,39
867,Lecce,79,1650.82,41
498,Sampdoria,78,1624.20,41
511,Empoli,78,1603.29,41
520,Cremonese,79,1584.72,39
507,Ascoli,79,1575.84,40
518,Brescia,79,1573.88,42
506,Benevento,79,1573.88,43
514,Salernitana,78,1568.04,40
515,Spezia,78,1565.16,40
490,Cagliari,78,1564.58,41
495,Genoa,78,1560.95,41
524,Perugia,79,1551.79,40
801,Pisa,79,1544.19,43
523,Parma,79,1513.24,39
512,Frosinone,79,1509.07,39
516,Ternana,79,1508.82,40
517,Venezia,78,1494.11,41
493,Spal,79,1485.22,39
510,Cittadella,79,1484.39,40
895,como,79,1447.12,38
1584,Vicenza Virtus,79,1445.30,41
10137,Nuova Cosenza,79,1416.13,41
1692,Reggina,79,1408.00,39
501,Crotone,79,1378.48,40
878,Alessandria,79,1376.77,39
862,Pordenone,79,1259.66,39
