fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
897489,1659714300,490,Cagliari,3,2,524,Perugia
897490,1659726000,867,Lecce,2,3,510,Cittadella
897491,1659726900,498,Sampdoria,1,0,1692,Reggina
897492,1659800700,801,Pisa,1,4,518,Brescia
897493,1659801600,515,Spezia,5,1,895,como
897494,1659812400,511,Empoli,1,2,493,Spal
897495,1659887100,517,Venezia,2,3,507,Ascoli
897496,1659898800,514,Salernitana,0,2,523,Parma
897497,1659899700,1579,Monza,3,2,512,Frosinone
897498,1659973500,495,Genoa,3,2,506,Benevento
897499,1659985200,520,Cremonese,3,2,516,Ternana
897500,1659986100,500,Bologna,1,0,10137,Nuova Cosenza
897501,1659196800,1578,Sudtirol,1,3,884,Feralpisalo
897502,1659292200,899,Modena,3,1,1687,Catanzaro
897503,1659294000,508,Bari,3,0,870,Padova
897504,1659294000,522,Palermo,3,2,880,Reggiana
927060,1659715200,494,Udinese,2,1,884,Feralpisalo
927061,1659813300,503,Torino,3,0,522,Palermo
927062,1659888000,504,Verona,1,4,508,Bari
927063,1659974400,899,Modena,3,2,488,Sassuolo
932179,1666184400,515,Spezia,3,1,518,Brescia
932180,1666119600,503,Torino,4,0,510,Cittadella
964062,1666108800,495,Genoa,1,0,493,Spal
964063,1666195200,523,Parma,1,0,508,Bari
964064,1666206000,494,Udinese,2,3,1579,Monza
964065,1666270800,520,Cremonese,4,2,899,Modena
964066,1666281600,498,Sampdoria,2,2,507,Ascoli
964067,1666292400,500,Bologna,1,0,490,Cagliari
967210,1673467200,489,AC Milan,0,1,503,Torino
967211,1673380800,505,Inter,2,1,523,Parma
967212,1674136800,499,Atalanta,5,2,515,Spezia
967213,1674158400,496,Juventus,2,1,1579,Monza
967214,1673553600,497,AS Roma,1,0,495,Genoa
971890,1673542800,502,Fiorentina,1,0,498,Sampdoria
971891,1673985600,492,Napoli,2,2,520,Cremonese
971892,1674147600,487,Lazio,1,0,500,Bologna
987697,1675270800,502,Fiorentina,2,1,503,Torino
990583,1675281600,497,AS Roma,1,2,520,Cremonese
992448,1675195200,505,Inter,1,0,499,Atalanta
992449,1675368000,496,Juventus,1,0,487,Lazio
998275,1680721200,520,Cremonese,0,2,502,Fiorentina
998276,1682622000,502,Fiorentina,0,0,520,Cremonese
1004771,1680634800,496,Juventus,1,1,505,Inter
1004772,1682535600,505,Inter,1,0,496,Juventus
1023806,1684954800,502,Fiorentina,1,2,505,Inter
