fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
881780,1660408200,489,AC Milan,4,2,494,Udinese
881781,1660408200,498,Sampdoria,0,2,499,Atalanta
881782,1660416300,867,Lecce,1,2,505,Inter
881783,1660416300,1579,Monza,1,2,503,Torino
881784,1660494600,502,Fiorentina,3,2,520,Cremonese
881785,1660494600,487,Lazio,2,1,500,Bologna
881786,1660502700,514,Salernitana,0,1,497,AS Roma
881787,1660502700,515,Spezia,1,0,511,Empoli
881788,1660581000,504,Verona,2,5,492,Napoli
881789,1660589100,496,Juventus,3,0,488,Sassuolo
881790,1661013000,503,Torino,0,0,487,Lazio
881791,1661013000,494,Udinese,0,0,514,Salernitana
881792,1661021100,505,Inter,3,0,515,Spezia
881793,1661021100,488,Sassuolo,1,0,867,Lecce
881794,1661099400,511,Empoli,0,0,502,Fiorentina
881795,1661099400,492,Napoli,4,0,1579,Monza
881796,1661107500,499,Atalanta,1,1,489,AC Milan
881797,1661107500,500,Bologna,1,1,504,Verona
881798,1661185800,497,AS Roma,1,0,520,Cremonese
881799,1661193900,498,Sampdoria,0,0,496,Juventus
881800,1661531400,1579,Monza,1,2,494,Udinese
881801,1661539500,487,Lazio,3,1,505,Inter
881802,1661617800,520,Cremonese,1,2,503,Torino
881803,1661617800,496,Juventus,1,1,497,AS Roma
881804,1661625900,489,AC Milan,2,0,500,Bologna
881805,1661625900,515,Spezia,2,2,488,Sassuolo
881806,1661704200,504,Verona,0,1,499,Atalanta
881807,1661704200,514,Salernitana,4,0,498,Sampdoria
881808,1661712300,502,Fiorentina,0,0,492,Napoli
881809,1661712300,867,Lecce,1,1,511,Empoli
881810,1661877000,488,Sassuolo,0,0,489,AC Milan
881811,1661885100,505,Inter,3,1,520,Cremonese
881812,1661885100,497,AS Roma,3,0,1579,Monza
881813,1661963400,511,Empoli,1,1,504,Verona
881814,1661963400,498,Sampdoria,1,1,487,Lazio
881815,1661963400,494,Udinese,1,0,502,Fiorentina
881816,1661971500,496,Juventus,2,0,515,Spezia
881817,1661971500,492,Napoli,1,1,867,Lecce
881818,1662057900,499,Atalanta,3,1,503,Torino
881819,1662057900,500,Bologna,1,1,514,Salernitana
881820,1662210000,502,Fiorentina,1,1,496,Juventus
881821,1662220800,489,AC Milan,3,2,505,Inter
881822,1662230700,487,Lazio,1,2,492,Napoli
881823,1662287400,520,Cremonese,0,0,488,Sassuolo
881824,1662296400,515,Spezia,2,2,500,Bologna
881825,1662307200,504,Verona,2,1,498,Sampdoria
881826,1662317100,494,Udinese,4,0,497,AS Roma
881827,1662395400,1579,Monza,0,2,499,Atalanta
881828,1662395400,514,Salernitana,2,2,511,Empoli
881829,1662403500,503,Torino,1,0,867,Lecce
881830,1662892200,499,Atalanta,1,1,520,Cremonese
881831,1662901200,500,Bologna,2,1,502,Fiorentina
881832,1663008300,511,Empoli,1,2,497,AS Roma
881833,1662825600,505,Inter,1,0,503,Torino
881834,1662921900,496,Juventus,2,2,514,Salernitana
881835,1662912000,487,Lazio,2,0,504,Verona
881836,1662901200,867,Lecce,1,1,1579,Monza
881837,1662814800,492,Napoli,1,0,515,Spezia
881838,1662835500,498,Sampdoria,1,2,489,AC Milan
881839,1662901200,488,Sassuolo,1,3,494,Udinese
881840,1663419600,500,Bologna,0,1,511,Empoli
881841,1663506000,520,Cremonese,0,4,487,Lazio
881842,1663506000,502,Fiorentina,2,0,504,Verona
881843,1663526700,489,AC Milan,1,2,492,Napoli
881844,1663506000,1579,Monza,1,0,496,Juventus
881845,1663516800,497,AS Roma,0,1,499,Atalanta
881846,1663353900,514,Salernitana,1,2,867,Lecce
