id,team_name,league,elo_rating,games,prev_elos
492,Napoli,78,1952.45,78,"{1660581000: 1886.95, 1661099400: 1909.64, 1661712300: 1913.91, 1661971500: 1911.94, 1662230700: 1903.5700000000002, 1662814800: 1914.8600000000001, 1663526700: 1916.38, 1664629200: 1929.96, 1665331200: 1933.99, 1665936000: 1940.16, 1666550700: 1941.65, 1667048400: 1951.65, 1667667600: 1955.93, 1667928600: 1965.1200000000001, 1668261600: 1967.0400000000002, 1672861500: 1970.1100000000001, 1673197200: 1961.7700000000002, 1673639100: 1965.1800000000003, 1673985600: 1976.4200000000003, 1674320400: 1967.1700000000003, 1675021500: 1971.7800000000002, 1675596600: 1976.4200000000003, 1676231100: 1981.5600000000004, 1676663100: 1983.0300000000004, 1677344400: 1990.4700000000005, 1677872700: 1997.0100000000004, 1678554000: 1981.8300000000004, 1679234400: 1986.1800000000003, 1680461100: 1998.4700000000003, 1680886800: 1966.7800000000002, 1681574400: 1970.3300000000002, 1682275500: 1961.39, 1682859600: 1972.64, 1683225900: 1964.41, 1683475200: 1959.65, 1684069200: 1962.89, 1684684800: 1943.5900000000001, 1685278800: 1954.0400000000002, 1685896200: 1951.4800000000002}"
505,Inter,78,1945.27,86,"{1660416300: 1955.66, 1661021100: 1959.72, 1661539500: 1961.98, 1661885100: 1945.41, 1662220800: 1947.19, 1662825600: 1939.68, 1663497000: 1942.72, 1664640000: 1926.8700000000001, 1665234000: 1911.0500000000002, 1665916200: 1918.2000000000003, 1666464300: 1920.2000000000003, 1667069100: 1926.5700000000002, 1667763900: 1928.5600000000002, 1668023100: 1914.2500000000002, 1668339000: 1919.3400000000001, 1672861500: 1928.2800000000002, 1673120700: 1936.6200000000001, 1673380800: 1932.69, 1673725500: 1933.89, 1674503100: 1935.0, 1674925200: 1916.98, 1675195200: 1920.41, 1675626300: 1925.22, 1676317500: 1930.25, 1676749500: 1922.65, 1677411000: 1926.6100000000001, 1678035600: 1913.3100000000002, 1678477500: 1916.8200000000002, 1679255100: 1900.63, 1680364800: 1888.24, 1680634800: 1857.3, 1680879600: 1866.47, 1681584300: 1858.16, 1682245800: 1824.89, 1682535600: 1849.8100000000002, 1682850600: 1866.6200000000001, 1683140400: 1893.8700000000001, 1683388800: 1916.3000000000002, 1684003500: 1930.7700000000002, 1684684800: 1934.7100000000003, 1684954800: 1924.2600000000002, 1685213100: 1933.2200000000003, 1685809800: 1936.8600000000004}"
487,Lazio,78,1920.96,80,"{1660494600: 1817.16, 1661013000: 1824.6100000000001, 1661539500: 1825.39, 1661963400: 1858.5400000000002, 1662230700: 1848.6700000000003, 1662912000: 1826.0900000000004, 1663506000: 1835.6700000000003, 1664706600: 1857.3200000000004, 1665427500: 1865.4600000000005, 1665925200: 1898.0500000000004, 1666540800: 1890.4500000000005, 1667149200: 1924.7800000000004, 1667754000: 1896.8400000000004, 1668109500: 1919.2700000000004, 1668368700: 1921.6200000000003, 1672846200: 1907.0900000000004, 1673186400: 1892.6400000000003, 1673782200: 1877.0000000000002, 1674147600: 1893.0400000000002, 1674589500: 1899.1000000000001, 1675011600: 1927.5500000000002, 1675368000: 1920.0700000000002, 1675704600: 1911.7400000000002, 1676144700: 1906.0200000000002, 1676815200: 1882.6800000000003, 1677527100: 1895.8000000000002, 1677872700: 1897.8000000000002, 1678563900: 1928.16, 1679245200: 1925.1100000000001, 1680440400: 1929.2600000000002, 1680979500: 1938.6000000000001, 1681497900: 1945.44, 1682179200: 1952.3, 1682850600: 1934.74, 1683140400: 1921.11, 1683378000: 1925.53, 1683917100: 1911.45, 1684694700: 1902.9, 1685289600: 1909.63, 1685818800: 1911.0300000000002}"
496,Juventus,78,1875.92,85,"{1660589100: 1843.47, 1661193900: 1856.6000000000001, 1661617800: 1848.0100000000002, 1661971500: 1841.4900000000002, 1662210000: 1848.5300000000002, 1662921900: 1847.6800000000003, 1663506000: 1831.7300000000002, 1664736300: 1804.2400000000002, 1665244800: 1815.9100000000003, 1665849600: 1802.8900000000003, 1666377900: 1821.9700000000003, 1667059200: 1832.6400000000003, 1667763900: 1844.4900000000002, 1668101400: 1873.1200000000003, 1668368700: 1881.2200000000003, 1672853400: 1910.2700000000002, 1673110800: 1914.1100000000001, 1673639100: 1917.73, 1674158400: 1906.49, 1674416700: 1909.65, 1675000800: 1904.38, 1675368000: 1878.7800000000002, 1675799100: 1895.4300000000003, 1676221200: 1911.9400000000003, 1676826000: 1914.7200000000003, 1677613500: 1920.6500000000003, 1678045500: 1925.2300000000002, 1678650300: 1914.5600000000002, 1679255100: 1915.91, 1680374700: 1928.3000000000002, 1680634800: 1929.4700000000003, 1680979500: 1924.8800000000003, 1681660800: 1918.0400000000004, 1682275500: 1905.2200000000005, 1682535600: 1893.9700000000005, 1682880300: 1877.1600000000005, 1683129600: 1876.4200000000005, 1683455400: 1880.4800000000005, 1684089900: 1913.4800000000005, 1684781100: 1916.0100000000004, 1685299500: 1890.2200000000005, 1685905200: 1861.6900000000005}"
489,AC Milan,78,1866.70,81,"{1660408200: 1934.99, 1661107500: 1939.73, 1661625900: 1936.67, 1661877000: 1939.5500000000002, 1662220800: 1935.42, 1662835500: 1942.93, 1663526700: 1946.3500000000001, 1664649900: 1932.7700000000002, 1665244800: 1938.7600000000002, 1665945900: 1945.2700000000002, 1666454400: 1948.89, 1667159100: 1952.8500000000001, 1667677500: 1939.0100000000002, 1667936700: 1940.1400000000003, 1668358800: 1933.5900000000004, 1672831800: 1936.5500000000004, 1673207100: 1940.4300000000005, 1673467200: 1934.6900000000005, 1673715600: 1917.5300000000004, 1674589500: 1913.5400000000004, 1674991800: 1899.3200000000004, 1675626300: 1835.6100000000004, 1676058300: 1825.5600000000004, 1676739600: 1836.1100000000004, 1677440700: 1857.3900000000003, 1677959100: 1874.7700000000004, 1678736700: 1851.6500000000005, 1679168700: 1836.1200000000006, 1680461100: 1803.8600000000006, 1680894000: 1867.2300000000005, 1681563600: 1852.1600000000005, 1682265600: 1854.4600000000005, 1682784000: 1860.7600000000004, 1683140400: 1863.1800000000005, 1683378000: 1846.8100000000006, 1683993600: 1874.9700000000007, 1684608300: 1827.0800000000006, 1685299500: 1831.8400000000006, 1685905200: 1860.3700000000006}"
502,Fiorentina,78,1813.12,87,"{1660494600: 1741.98, 1661099400: 1749.77, 1661712300: 1744.62, 1661963400: 1748.56, 1662210000: 1733.79, 1662901200: 1734.6399999999999, 1663506000: 1714.6499999999999, 1664726400: 1729.9199999999998, 1665427500: 1719.6599999999999, 1666032300: 1687.07, 1666464300: 1688.05, 1667138400: 1675.31, 1667743200: 1694.99, 1668023100: 1719.82, 1668358800: 1729.3899999999999, 1672853400: 1723.4699999999998, 1673100000: 1715.8799999999999, 1673542800: 1725.3, 1673811900: 1730.59, 1674330300: 1716.1999999999998, 1675011600: 1690.9699999999998, 1675270800: 1705.9299999999998, 1675616400: 1722.7699999999998, 1676221200: 1695.4899999999998, 1676815200: 1689.9199999999998, 1677519000: 1682.85, 1677959100: 1720.07, 1678629600: 1743.1899999999998, 1679234400: 1766.9899999999998, 1680364800: 1774.87, 1680721200: 1805.81, 1680957000: 1822.3899999999999, 1681757100: 1807.4099999999999, 1682254800: 1798.9899999999998, 1682622000: 1779.8299999999997, 1682870400: 1765.0699999999997, 1683129600: 1773.3099999999997, 1683475200: 1773.9299999999996, 1684069200: 1767.4599999999996, 1684674000: 1784.1499999999996, 1684954800: 1788.1299999999997, 1685203200: 1770.1999999999996, 1685730600: 1784.4999999999995}"
499,Atalanta,78,1791.97,80,"{1660408200: 1697.16, 1661107500: 1729.97, 1661704200: 1736.09, 1662057900: 1756.49, 1662395400: 1777.9, 1662892200: 1802.38, 1663516800: 1787.3700000000001, 1664726400: 1814.8000000000002, 1665320400: 1825.0600000000002, 1665859500: 1832.8000000000002, 1666540800: 1840.9, 1667129400: 1806.5700000000002, 1667667600: 1827.5900000000001, 1668015000: 1809.2200000000003, 1668339000: 1782.3600000000004, 1672839000: 1764.4800000000002, 1673293500: 1759.6600000000003, 1673802000: 1781.1600000000003, 1674136800: 1794.1600000000003, 1674416700: 1805.9200000000003, 1674935100: 1816.4700000000003, 1675195200: 1820.7900000000002, 1675539900: 1811.16, 1676144700: 1788.2900000000002, 1676806200: 1834.9600000000003, 1677440700: 1801.6200000000003, 1677949200: 1784.2400000000002, 1678554000: 1773.5100000000002, 1679082300: 1764.8100000000002, 1680354000: 1772.66, 1680964200: 1793.19, 1681757100: 1751.53, 1682361900: 1759.95, 1682793900: 1787.41, 1683129600: 1810.68, 1683455400: 1815.38, 1683982800: 1782.38, 1684598400: 1761.42, 1685213100: 1772.3100000000002, 1685905200: 1765.0200000000002}"
500,Bologna,78,1785.29,80,"{1659986100: 1655.99, 1660494600: 1660.94, 1661107500: 1653.49, 1661625900: 1647.0, 1662057900: 1641.24, 1662296400: 1631.88, 1662901200: 1634.8500000000001, 1663419600: 1654.8400000000001, 1664736300: 1624.7300000000002, 1665254700: 1613.0600000000002, 1665936000: 1602.5600000000002, 1666292400: 1599.5800000000002, 1666530000: 1612.13, 1667245500: 1633.0200000000002, 1667734200: 1661.1600000000003, 1668023100: 1679.9400000000003, 1668282300: 1669.7500000000002, 1672846200: 1694.9300000000003, 1673293500: 1685.7000000000003, 1673791200: 1664.2000000000003, 1674147600: 1693.7400000000002, 1674495000: 1687.6800000000003, 1674840600: 1675.1100000000004, 1675616400: 1690.2200000000003, 1676210400: 1717.5000000000002, 1676728800: 1692.7600000000002, 1677411000: 1707.5100000000002, 1678131900: 1734.1100000000001, 1678563900: 1718.6100000000001, 1679158800: 1724.72, 1680431400: 1723.71, 1680964200: 1750.65, 1681563600: 1792.3100000000002, 1682102700: 1790.0100000000002, 1682880300: 1764.2400000000002, 1683225900: 1764.9800000000002, 1683571500: 1728.4200000000003, 1684080000: 1732.8800000000003, 1684587600: 1729.5800000000004, 1685278800: 1763.2500000000005, 1685905200: 1768.3600000000004}"
503,Torino,78,1764.49,82,"{1659813300: 1703.09, 1660416300: 1714.56, 1661013000: 1738.09, 1661617800: 1737.31, 1662057900: 1754.19, 1662403500: 1732.78, 1662825600: 1741.3899999999999, 1663440300: 1735.3, 1664629200: 1706.1399999999999, 1665311400: 1698.09, 1665849600: 1686.9399999999998, 1666119600: 1667.86, 1666521000: 1679.86, 1667159100: 1712.29, 1667734200: 1739.97, 1668023100: 1721.19, 1668348000: 1729.75, 1672839000: 1739.46, 1673177400: 1724.5, 1673467200: 1722.02, 1673791200: 1756.35, 1674330300: 1723.2199999999998, 1674914400: 1748.4499999999998, 1675270800: 1750.6599999999999, 1675605600: 1733.82, 1676058300: 1747.26, 1676922300: 1736.71, 1677613500: 1722.71, 1678131900: 1713.56, 1678620600: 1729.06, 1679234400: 1761.3, 1680547500: 1736.73, 1680971400: 1742.99, 1681650000: 1720.03, 1682179200: 1709.68, 1682793900: 1744.79, 1683129600: 1721.52, 1683464400: 1739.99, 1684060200: 1735.22, 1684674000: 1754.28, 1685192400: 1750.3, 1685809800: 1781.32}"
497,AS Roma,78,1760.18,80,"{1660502700: 1815.42, 1661185800: 1825.46, 1661617800: 1830.46, 1661885100: 1836.98, 1662317100: 1846.85, 1663008300: 1810.3799999999999, 1663516800: 1822.9099999999999, 1664640000: 1795.4799999999998, 1665341100: 1827.1299999999999, 1666024200: 1832.6699999999998, 1666550700: 1841.8, 1667237400: 1821.79, 1667754000: 1839.21, 1668015000: 1816.78, 1668348000: 1813.92, 1672846200: 1804.21, 1673207100: 1813.44, 1673553600: 1824.92, 1673811900: 1831.02, 1674406800: 1845.41, 1675021500: 1863.8600000000001, 1675281600: 1854.5800000000002, 1675530000: 1817.89, 1676134800: 1830.3200000000002, 1676835900: 1825.8100000000002, 1677605400: 1831.41, 1678045500: 1801.8000000000002, 1678640400: 1823.15, 1679245200: 1792.24, 1680451200: 1783.94, 1680971400: 1791.23, 1681670700: 1814.19, 1682361900: 1830.52, 1682784000: 1803.06, 1683140400: 1800.6399999999999, 1683388800: 1803.9599999999998, 1684080000: 1775.0299999999997, 1684773000: 1778.3299999999997, 1685203200: 1768.2999999999997, 1685905200: 1753.9999999999998}"
