fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
1099015,1691768700,512,Frosinone,1,0,801,Pisa
1099016,1691780400,495,Genoa,4,3,899,Modena
1099017,1691855100,511,Empoli,1,2,510,Cittadella
1099018,1691856000,508,Bari,0,3,523,Parma
1099019,1691866800,504,Verona,3,1,507,Ascoli
1099020,1691867700,490,Cagliari,2,1,522,Palermo
1099021,1691941500,514,Salernitana,1,0,516,Ternana
1099022,1691942400,10137,Cosenza,2,5,488,Sassuolo
1099023,1691953200,867,Lecce,1,0,895,Como
1099024,1692027900,520,Cremonese,3,1,501,Crotone
1099025,1692028800,498,Sampdoria,1,1,1578,Sudtirol
1099026,1692039600,515,Spezia,2,2,517,Venezia
1099027,1691251200,1687,Catanzaro,1,0,521,Foggia
1099028,1691337600,880,Reggiana,6,2,525,Pescara
1099029,1691344800,884,Feralpisalo,2,1,1584,Vicenza Virtus
1099030,1691346600,509,Cesena,2,2,527,Virtus Entella
1108423,1691769600,494,Udinese,4,1,1687,Catanzaro
1108424,1691781300,500,Bologna,2,0,509,Cesena
1108425,1691954100,1579,Monza,1,2,880,Reggiana
1108426,1692040500,503,Torino,2,1,884,Feralpisalo
1117765,1698782400,500,Bologna,2,0,504,Verona
1117766,1698858000,867,Lecce,2,4,523,Parma
1117767,1698868800,494,Udinese,1,2,490,Cagliari
1117768,1698847200,495,Genoa,2,1,880,Reggiana
1119494,1698944400,488,Sassuolo,0,0,515,Spezia
1119495,1698760800,520,Cremonese,2,1,510,Cittadella
1119496,1698771600,514,Salernitana,4,0,498,Sampdoria
1119497,1698955200,503,Torino,1,2,512,Frosinone
