fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
1063003,1692383400,508,Bari,0,0,522,Palermo
1063004,1692556200,510,Cittadella,1,0,880,Reggiana
1063005,1692469800,10137,Cosenza,3,0,507,Ascoli
1063006,1692469800,520,Cremonese,0,0,1687,Catanzaro
1063007,1692556200,523,Parma,2,0,884,Feralpisalo
1063008,1698165000,801,Pisa,1,2,6379,Lecco
1063009,1692547200,1578,Sudtirol,3,3,515,Spezia
1063010,1692469800,516,Ternana,1,2,498,Sampdoria
1063011,1692556200,517,Venezia,3,0,895,Como
1063012,1693161000,1687,Catanzaro,2,1,516,Ternana
1063013,1693074600,895,Como,2,2,880,Reggiana
1063014,1693074600,520,Cremonese,0,1,508,Bari
1063015,1693074600,884,Feralpisalo,0,2,1578,Sudtirol
1063016,1699464600,6379,Lecco,0,0,515,Spezia
1063017,1693074600,899,Modena,1,0,507,Ascoli
1063018,1693074600,523,Parma,2,0,510,Cittadella
1063019,1692988200,498,Sampdoria,0,2,801,Pisa
1063020,1693065600,517,Venezia,1,1,10137,Cosenza
1063021,1693333800,507,Ascoli,3,0,884,Feralpisalo
1063022,1693420200,508,Bari,1,1,510,Cittadella
1063023,1693420200,1687,Catanzaro,3,0,515,Spezia
1063024,1701192600,895,Como,0,0,6379,Lecco
1063025,1693333800,10137,Cosenza,1,2,899,Modena
1063026,1693333800,801,Pisa,1,2,523,Parma
1063027,1693333800,880,Reggiana,1,3,522,Palermo
1063028,1693420200,498,Sampdoria,1,2,517,Venezia
1063029,1693420200,516,Ternana,0,1,520,Cremonese
1063030,1693766700,510,Cittadella,0,0,517,Venezia
1063031,1693758600,520,Cremonese,1,1,498,Sampdoria
1063032,1693758600,6379,Lecco,3,4,1687,Catanzaro
1063033,1693672200,899,Modena,2,0,801,Pisa
1063034,1693672200,522,Palermo,3,0,884,Feralpisalo
1063035,1693672200,523,Parma,0,0,880,Reggiana
1063036,1693758600,515,Spezia,0,1,895,Como
1063037,1693672200,1578,Sudtirol,3,1,507,Ascoli
1063038,1693758600,516,Ternana,0,0,508,Bari
1063039,1694865600,507,Ascoli,0,1,522,Palermo
1063040,1694960100,1687,Catanzaro,0,5,523,Parma
1063041,1694960100,895,Como,2,1,516,Ternana
1063042,1694865600,10137,Cosenza,2,2,1578,Sudtirol
1063043,1694865600,884,Feralpisalo,1,1,899,Modena
1063044,1694865600,801,Pisa,1,1,508,Bari
1063045,1694873700,880,Reggiana,2,2,520,Cremonese
1063046,1695061800,498,Sampdoria,1,2,510,Cittadella
1063047,1694802600,517,Venezia,1,0,515,Spezia
1063048,1695564900,508,Bari,2,2,1687,Catanzaro
1063049,1695564900,510,Cittadella,0,3,895,Como
1063050,1695470400,520,Cremonese,2,2,507,Ascoli
1063051,1695470400,884,Feralpisalo,0,1,801,Pisa
1063052,1695470400,899,Modena,0,0,6379,Lecco
1063053,1695407400,522,Palermo,0,1,10137,Cosenza
1063054,1695564900,523,Parma,1,1,498,Sampdoria
1063055,1695478500,515,Spezia,1,2,880,Reggiana
1063056,1695470400,516,Ternana,1,1,1578,Sudtirol
1063057,1695753000,507,Ascoli,2,0,516,Ternana
1063058,1695839400,1687,Catanzaro,1,1,510,Cittadella
1063059,1695839400,895,Como,1,0,498,Sampdoria
1063060,1695744900,10137,Cosenza,1,2,520,Cremonese
1063061,1695744900,6379,Lecco,1,2,884,Feralpisalo
1063062,1695839400,523,Parma,2,1,508,Bari
1063063,1695753000,880,Reggiana,0,0,801,Pisa
1063064,1695753000,1578,Sudtirol,0,0,899,Modena
1063065,1695753000,517,Venezia,1,3,522,Palermo
1063066,1696169700,508,Bari,1,1,895,Como
1063067,1696169700,510,Cittadella,2,1,6379,Lecco
1063068,1696177800,520,Cremonese,1,2,523,Parma
1063069,1696075200,884,Feralpisalo,1,2,515,Spezia
1063070,1696075200,899,Modena,1,3,517,Venezia
1063071,1696169700,522,Palermo,2,1,1578,Sudtirol
1063072,1696075200,801,Pisa,1,2,10137,Cosenza
1063073,1696169700,498,Sampdoria,1,2,1687,Catanzaro
1063074,1696083300,516,Ternana,3,0,880,Reggiana
1063075,1696688100,507,Ascoli,1,1,498,Sampdoria
1063076,1696688100,510,Cittadella,2,2,516,Ternana
1063077,1696774500,895,Como,1,3,520,Cremonese
1063078,1696680000,10137,Cosenza,3,0,6379,Lecco
1063079,1696680000,899,Modena,0,2,522,Palermo
1063080,1696680000,880,Reggiana,1,1,508,Bari
1063081,1696774500,515,Spezia,0,0,801,Pisa
1063082,1696680000,1578,Sudtirol,0,1,1687,Catanzaro
1063083,1696688100,517,Venezia,3,2,523,Parma
1063084,1697889600,508,Bari,1,1,899,Modena
1063085,1697897700,1687,Catanzaro,3,0,884,Feralpisalo
1063086,1697889600,520,Cremonese,0,1,1578,Sudtirol
1063087,1697889600,6379,Lecco,0,2,507,Ascoli
1063088,1698085800,522,Palermo,2,2,515,Spezia
1063089,1697826600,523,Parma,2,1,895,Como
1063090,1697889600,801,Pisa,2,1,510,Cittadella
1063091,1697992200,880,Reggiana,1,0,517,Venezia
1063092,1697984100,498,Sampdoria,2,0,10137,Cosenza
1063093,1698502500,507,Ascoli,1,3,523,Parma
1063094,1698431400,510,Cittadella,1,2,520,Cremonese
1063095,1698494400,895,Como,1,0,1687,Catanzaro
1063096,1698494400,884,Feralpisalo,0,3,880,Reggiana
1063097,1698592500,899,Modena,2,1,516,Ternana
1063098,1698592500,522,Palermo,1,2,6379,Lecco
1063099,1698494400,515,Spezia,0,0,10137,Cosenza
1063100,1698494400,1578,Sudtirol,3,1,498,Sampdoria
1063101,1698592500,517,Venezia,2,1,801,Pisa
1063102,1699102800,508,Bari,1,0,507,Ascoli
1063103,1699102800,1687,Catanzaro,1,2,899,Modena
1063104,1699102800,10137,Cosenza,1,1,884,Feralpisalo
1063105,1699197300,520,Cremonese,3,0,515,Spezia
1063106,1699197300,523,Parma,2,0,1578,Sudtirol
1063107,1699102800,801,Pisa,1,1,895,Como
1063108,1699197300,880,Reggiana,1,1,6379,Lecco
1063109,1699110900,498,Sampdoria,1,0,522,Palermo
1063110,1699102800,516,Ternana,0,1,517,Venezia
1063111,1699707600,507,Ascoli,0,1,895,Como
1063112,1699707600,10137,Cosenza,2,0,880,Reggiana
1063113,1699707600,884,Feralpisalo,3,3,508,Bari
1063114,1699802100,6379,Lecco,3,2,523,Parma
1063115,1699715700,899,Modena,0,2,498,Sampdoria
1063116,1699802100,522,Palermo,0,1,510,Cittadella
1063117,1699802100,515,Spezia,2,2,516,Ternana
1063118,1699707600,1578,Sudtirol,1,2,801,Pisa
1063119,1699644600,517,Venezia,2,1,1687,Catanzaro
1063120,1700917200,508,Bari,0,3,517,Venezia
1063121,1701011700,1687,Catanzaro,2,0,10137,Cosenza
1063122,1700917200,510,Cittadella,2,1,1578,Sudtirol
1063123,1700917200,895,Como,2,1,884,Feralpisalo
1063124,1700917200,520,Cremonese,1,0,6379,Lecco
1063125,1700917200,523,Parma,1,1,899,Modena
1063126,1700917200,880,Reggiana,1,1,507,Ascoli
1063127,1700854200,498,Sampdoria,2,1,515,Spezia
1063128,1701011700,516,Ternana,1,1,522,Palermo
1125195,1698165000,518,Brescia,0,1,899,Modena
1125196,1699464600,522,Palermo,1,0,518,Brescia
1125197,1701192600,1578,Sudtirol,1,1,518,Brescia
1125198,1693750500,518,Brescia,1,0,10137,Cosenza
1125199,1694865600,6379,Lecco,0,2,518,Brescia
1125200,1695470400,518,Brescia,0,0,517,Venezia
1125201,1695753000,515,Spezia,0,0,518,Brescia
1125202,1696075200,518,Brescia,1,1,507,Ascoli
1125203,1696617000,518,Brescia,1,1,884,Feralpisalo
1125204,1697889600,516,Ternana,0,1,518,Brescia
1125205,1698592500,518,Brescia,1,2,508,Bari
1125206,1699102800,510,Cittadella,3,2,518,Brescia
1125207,1699802100,518,Brescia,0,3,520,Cremonese
1125208,1700925300,801,Pisa,1,1,518,Brescia
