fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
1060641,1690299000,597,Lokomotiv Moscow,2,1,1084,Ural
1060642,1690299000,2011,Nizhny Novgorod,1,1,1088,Dinamo Moscow
1060643,1690307100,596,Zenit Saint Petersburg,2,0,1085,Akhmat Grozny
1060644,1690377300,1080,Orenburg,0,6,555,CSKA Moscow
1060645,1690385400,1993,Fakel Voronezh,1,3,2012,PFC Sochi
1060646,1690385400,1079,Krylya Sovetov,2,3,2006,Baltika
1060647,1690393500,779,FC Rostov,1,0,1083,Rubin
1060648,1690477200,621,Krasnodar,1,2,558,Spartak Moscow
1060649,1691500500,1084,Ural,1,0,779,FC Rostov
1060650,1691508600,1083,Rubin,0,1,597,Lokomotiv Moscow
1060651,1691516700,558,Spartak Moscow,5,4,2011,Nizhny Novgorod
1060652,1691586900,1080,Orenburg,2,0,2012,PFC Sochi
1060653,1691595000,555,CSKA Moscow,0,2,1993,Fakel Voronezh
1060654,1691595000,1079,Krylya Sovetov,0,1,596,Zenit Saint Petersburg
1060655,1691603100,1088,Dinamo Moscow,4,3,621,Krasnodar
1060656,1691686800,1085,Akhmat Grozny,0,2,2006,Baltika
1060657,1693310400,1083,Rubin,2,1,1084,Ural
1060658,1693318500,1993,Fakel Voronezh,0,1,1080,Orenburg
1060659,1693326600,2011,Nizhny Novgorod,0,1,621,Krasnodar
1060660,1693326600,558,Spartak Moscow,4,1,1088,Dinamo Moscow
1060661,1693404900,2012,PFC Sochi,0,0,555,CSKA Moscow
1060662,1693404900,1085,Akhmat Grozny,3,1,1079,Krylya Sovetov
1060663,1693413000,779,FC Rostov,2,1,597,Lokomotiv Moscow
1060664,1693413000,2006,Baltika,1,0,596,Zenit Saint Petersburg
1060665,1695305700,1080,Orenburg,0,0,1993,Fakel Voronezh
1060666,1695211200,555,CSKA Moscow,1,1,2012,PFC Sochi
1060667,1695219300,1083,Rubin,1,1,779,FC Rostov
1060668,1695211200,1084,Ural,0,0,597,Lokomotiv Moscow
1060669,1695132900,2006,Baltika,1,2,1079,Krylya Sovetov
1060670,1695219300,1085,Akhmat Grozny,3,3,596,Zenit Saint Petersburg
1060671,1695124800,621,Krasnodar,1,1,1088,Dinamo Moscow
1060672,1695132900,2011,Nizhny Novgorod,0,3,558,Spartak Moscow
1060675,1696342500,597,Lokomotiv Moscow,,,779,FC Rostov
1060676,1696334400,1084,Ural,,,1083,Rubin
1060677,1696342500,596,Zenit Saint Petersburg,,,2006,Baltika
1081913,1692712800,21540,Astrakhan,0,1,2010,Rotor Volgograd
1081914,1692795600,6810,Legion Dynamo,1,0,22171,Pobeda
1081915,1692802800,6796,Dinamo Stavropol,0,0,2002,Spartak Nalchik
1081916,1692799200,6824,SKA Rostov,2,1,3983,Chayka
1081917,1692802800,6815,Metallurg Lipetsk,1,1,14116,Forte Taganrog
1081918,1692799200,6826,Salyut-Belgorod,2,0,2009,Avangard Kursk
1081919,1692698400,6823,Ryazan,2,1,19452,Kosmos Dolgoprudny
1081920,1692802800,6830,Torpedo Vladimir,1,2,16858,Khimik Dzerzhinsk
1081921,1692711000,19454,Sakhalinets,0,2,6827,Saturn Ramenskoye
1081922,1692788400,6803,Khimik Vurnary,1,1,16866,Zenit Penza
1081923,1692711000,6790,Chelyabinsk,1,0,665,Irtysh Omsk
1081924,1690986600,16863,StavAgrosoyuz,0,3,6814,Mashuk-KMV
1081925,1690984800,21872,Pioner,3,3,6798,Druzhba
1081926,1690990200,19940,FShM Torpedo,0,0,19262,Peresvet
1081927,1690970400,6829,Strogino,2,3,6837,Znamya Truda
1081928,1690993800,19938,2Drots,2,0,6825,Sakhalin
1081929,1690983000,21538,Dinamo Kirov,2,0,21537,Kompozit
1081930,1690907400,19939,Amkal,3,2,14121,Znamya Noginsk
1081931,1690983000,21873,Rodina Media,0,3,19447,Dinamo Vologda
1081932,1690986600,14625,Atom Novovoronezh,1,1,19451,FK Spartak Tambov
1081933,1690988400,6804,Kolomna,0,7,6807,Kvant
1081934,1690992000,21870,Kirovets Voskhozhdenie,0,1,17725,Dinamo St. Petersburg
1081935,1690992000,6821,Pskov 747,2,3,6812,Luki-Energiya
1081936,1690984800,14120,Tver,2,1,6799,Elektron VN
1081937,1690988400,21874,Universitet Ulyanovsk,1,1,21871,OES Dimitrovgrad
1081938,1690981200,6818,Nosta,0,0,21536,Uralets Nizhnyi Tagil
1081939,1690984800,16872,Ilpar,1,3,16864,Torpedo Miass
1081940,1690975800,19945,Temp Barnaul,0,3,6794,Dinamo Barnaul
1081941,1690959600,21869,Dalnerechensk,,,21539,Irkutsk
1100074,1692788400,21539,Irkutsk,0,0,16856,Dinamo Vladivostok
1104336,1692799200,6814,Mashuk-KMV,0,1,6788,Biolog
1104337,1692802800,6798,Druzhba,2,0,6806,Kuban Kholding
1104338,1692806400,6837,Znamya Truda,3,1,6838,Zorkiy
1104339,1692788400,2014,Chertanovo Moscow,0,1,21538,Dinamo Kirov
1104340,1692720000,3984,Tekstilshchik,0,0,19939,Amkal
1104341,1692797400,19447,Dinamo Vologda,0,0,19449,Spartak Kostroma
1104342,1692802800,19451,FK Spartak Tambov,1,3,6795,Dinamo Bryansk
1104343,1692795600,1078,FC UFA,0,0,6818,Nosta
1104344,1692705600,16864,Torpedo Miass,0,0,1076,Amkar
1105094,1692806400,19262,Peresvet,2,5,6833,Veles
1105095,1692806400,6817,Murom,1,3,19938,2Drots
1105096,1692799200,6807,Kvant,0,2,6802,Kaluga
1105097,1692806400,17725,Dinamo St. Petersburg,2,2,6840,Zvezda St. Petersburg
1105098,1692799200,6812,Luki-Energiya,3,0,14120,Tver
1105099,1692802800,21874,Universitet Ulyanovsk,0,6,6834,Volga Ulyanovsk
1105100,1692784800,6794,Dinamo Barnaul,3,2,6819,Novosibirsk
1123315,1694613600,2010,Rotor Volgograd,3,0,6810,Legion Dynamo
1123316,1694610000,6788,Biolog,0,0,6796,Dinamo Stavropol
1123317,1694613600,6798,Druzhba,1,1,6824,SKA Rostov
1123318,1694611800,14116,Forte Taganrog,1,1,6826,Salyut-Belgorod
1123319,1694622600,6833,Veles,1,1,6837,Znamya Truda
1123320,1693825200,21538,Dinamo Kirov,0,2,19938,2Drots
1123321,1694606400,19447,Dinamo Vologda,1,2,3984,Tekstilshchik
1123322,1694617200,6795,Dinamo Bryansk,0,0,6802,Kaluga
1123323,1694619000,6812,Luki-Energiya,0,0,17725,Dinamo St. Petersburg
1123324,1694620800,6827,Saturn Ramenskoye,0,0,6803,Khimik Vurnary
1123325,1694614500,6834,Volga Ulyanovsk,0,0,1078,FC UFA
1123326,1694698200,1076,Amkar,1,0,6790,Chelyabinsk
1123327,1694595600,16856,Dinamo Vladivostok,0,0,6794,Dinamo Barnaul
1123328,1694610000,16858,Khimik Dzerzhinsk,1,1,6823,Ryazan
1133507,1695830400,6827,Saturn Ramenskoye,1,2,1077,Arsenal Tula
1133508,1695819600,14116,Forte Taganrog,1,0,6813,Makhachkala
1133509,1695821400,1076,Amkar,1,1,6831,Urozhay
1133510,1695907800,19938,2Drots,0,2,1994,Khimki
1133511,1695735000,1078,FC UFA,1,1,3985,Torpedo Moskva
1133512,1695828600,6812,Luki-Energiya,1,2,1089,Enisey
1133513,1695826800,6795,Dinamo Bryansk,1,3,1998,Shinnik Yaroslavl
1133514,1695805200,16856,Dinamo Vladivostok,2,0,2000,Tyumen
