id,team_name,league,elo_rating,games,prev_elos
596,Zenit Saint Petersburg,235,1795.17,86,"{1690028100: 1831.41, 1690307100: 1843.5600000000002, 1690650000: 1851.89, 1691337600: 1845.7800000000002, 1691595000: 1808.9300000000003, 1691937000: 1822.8600000000004, 1692549000: 1828.2200000000003, 1693051200: 1858.2500000000002, 1693413000: 1871.4800000000002, 1693751400: 1839.8400000000001, 1694957400: 1840.1100000000001, 1695219300: 1856.8100000000002, 1695562200: 1850.3100000000002, 1696064400: 1817.39, 1696342500: 1776.68, 1696676400: 1781.93}"
621,Krasnodar,235,1784.35,91,"{1689955200: 1708.12, 1690477200: 1731.3799999999999, 1690736400: 1702.9899999999998, 1691168400: 1714.2399999999998, 1691603100: 1719.5599999999997, 1691850600: 1695.9099999999996, 1692462600: 1724.9199999999996, 1692982800: 1719.4399999999996, 1693326600: 1714.6799999999996, 1693674000: 1728.6799999999996, 1694871000: 1748.5999999999997, 1695124800: 1748.0599999999997, 1695571200: 1736.5499999999997, 1696080600: 1749.5599999999997, 1696428900: 1770.7299999999998, 1696694400: 1778.9499999999998}"
597,Lokomotiv Moscow,235,1733.09,86,"{1690036200: 1721.26, 1690299000: 1709.58, 1690727400: 1719.6399999999999, 1691254800: 1742.8, 1691508600: 1723.84, 1691841600: 1739.6999999999998, 1692462600: 1727.2399999999998, 1693155600: 1732.7199999999998, 1693413000: 1747.0699999999997, 1693743300: 1722.1099999999997, 1694966400: 1729.7699999999998, 1695211200: 1681.4499999999998, 1695562200: 1683.3899999999999, 1696072500: 1716.31, 1696342500: 1722.6599999999999, 1696669200: 1733.8899999999999}"
555,CSKA Moscow,235,1718.16,93,"{1690020000: 1784.2, 1690377300: 1759.18, 1690736400: 1799.49, 1691254800: 1814.89, 1691595000: 1833.8500000000001, 1691946000: 1777.5900000000001, 1692446400: 1783.64, 1692973800: 1759.0300000000002, 1693404900: 1751.8300000000002, 1693751400: 1744.4600000000003, 1694862000: 1744.1900000000003, 1695211200: 1731.7400000000002, 1695571200: 1716.8100000000002, 1696089600: 1714.0600000000002, 1696419000: 1721.4400000000003, 1696780800: 1715.4400000000003}"
558,Spartak Moscow,235,1660.26,92,"{1690122600: 1661.97, 1690477200: 1676.01, 1690821000: 1704.4, 1691245800: 1711.88, 1691516700: 1743.97, 1691766000: 1748.43, 1692549000: 1728.55, 1693067400: 1698.52, 1693326600: 1687.31, 1693674000: 1707.23, 1694880000: 1687.31, 1695132900: 1693.82, 1695484800: 1721.72, 1696167000: 1731.76, 1696427100: 1694.67, 1696780800: 1662.98}"
1088,Dinamo Moscow,235,1647.33,92,"{1689955200: 1528.76, 1690299000: 1505.5, 1690632000: 1509.78, 1691337600: 1518.55, 1691603100: 1555.3999999999999, 1691928000: 1579.05, 1692446400: 1602.04, 1693060200: 1626.6499999999999, 1693326600: 1627.1, 1693760400: 1607.1799999999998, 1694793600: 1631.5299999999997, 1695124800: 1620.3099999999997, 1695484800: 1631.8199999999997, 1696176000: 1621.7799999999997, 1696427100: 1627.5799999999997, 1696771800: 1659.2699999999998}"
1085,Akhmat Grozny,235,1636.49,85,"{1690045200: 1656.2, 1690307100: 1626.54, 1690736400: 1618.21, 1691341200: 1602.81, 1691686800: 1624.77, 1692030600: 1581.01, 1692550800: 1550.82, 1693067400: 1578.28, 1693404900: 1589.49, 1693648800: 1611.34, 1694871000: 1639.1599999999999, 1695219300: 1639.6999999999998, 1695475800: 1646.1999999999998, 1696176000: 1625.5599999999997, 1696411800: 1619.7599999999998, 1696780800: 1669.2399999999998}"
1080,Orenburg,235,1625.49,93,"{1690122600: 1655.26, 1690377300: 1641.22, 1690718400: 1600.91, 1691245800: 1605.8100000000002, 1691586900: 1566.8200000000002, 1691850600: 1584.4900000000002, 1692550800: 1555.4800000000002, 1692973800: 1528.0200000000002, 1693318500: 1535.2200000000003, 1693735200: 1561.0700000000002, 1694966400: 1583.0100000000002, 1695305700: 1631.3300000000002, 1695553200: 1619.9, 1696064400: 1587.7, 1696420800: 1628.41, 1696685400: 1645.63}"
1084,Ural,235,1620.84,90,"{1690020000: 1595.18, 1690299000: 1620.2, 1690641000: 1610.14, 1691245800: 1598.42, 1691500500: 1637.41, 1691766000: 1650.52, 1692455400: 1670.4, 1693051200: 1690.5700000000002, 1693310400: 1677.3400000000001, 1693648800: 1654.8600000000001, 1694948400: 1627.0400000000002, 1695211200: 1615.3300000000002, 1695571200: 1613.39, 1696003200: 1600.38, 1696334400: 1604.42, 1696669200: 1620.04}"
1079,Krylya Sovetov,235,1592.21,88,"{1690045200: 1573.14, 1690385400: 1602.8000000000002, 1690632000: 1573.1200000000001, 1691236800: 1564.3500000000001, 1691595000: 1600.13, 1691841600: 1586.2, 1692376200: 1598.66, 1693146600: 1579.6200000000001, 1693404900: 1592.65, 1693665000: 1570.8000000000002, 1694862000: 1591.0000000000002, 1695132900: 1603.4500000000003, 1695466800: 1626.5800000000004, 1696167000: 1635.5600000000004, 1696411800: 1672.6500000000003, 1696762800: 1623.1700000000003}"
2006,Baltika,235,1563.31,90,"{1690131600: 1546.4, 1690385400: 1519.3300000000002, 1690821000: 1549.0100000000002, 1691332200: 1541.5300000000002, 1691686800: 1552.5800000000002, 1691928000: 1596.3400000000001, 1692455400: 1573.3500000000001, 1693146600: 1553.18, 1693413000: 1540.15, 1693743300: 1571.7900000000002, 1694888100: 1564.13, 1695132900: 1558.2900000000002, 1695475800: 1535.16, 1696089600: 1555.8000000000002, 1696342500: 1548.42, 1696685400: 1543.17}"
779,FC Rostov,235,1550.83,87,"{1690131600: 1618.39, 1690393500: 1629.3500000000001, 1690650000: 1642.2600000000002, 1691236800: 1648.3700000000001, 1691500500: 1612.5900000000001, 1691859600: 1599.4800000000002, 1692464400: 1619.0400000000002, 1693069200: 1578.5600000000002, 1693413000: 1559.0900000000001, 1693760400: 1584.0500000000002, 1694888100: 1559.7000000000003, 1695219300: 1565.5400000000002, 1695571200: 1568.7500000000002, 1696003200: 1571.5000000000002, 1696342500: 1567.4600000000003, 1696694400: 1556.2300000000002}"
2011,Nizhny Novgorod,235,1543.02,87,"{1690028100: 1493.25, 1690299000: 1481.1, 1690641000: 1476.82, 1691168400: 1488.54, 1691516700: 1483.22, 1692030600: 1478.76, 1692541800: 1508.95, 1693069200: 1487.75, 1693326600: 1507.22, 1693656900: 1493.22, 1694793600: 1511.1100000000001, 1695132900: 1522.3300000000002, 1695553200: 1494.43, 1696072500: 1526.63, 1696428900: 1520.2800000000002, 1696762800: 1512.0600000000002}"
1083,Rubin,235,1540.12,83,"{1690036200: 1589.01, 1690393500: 1600.69, 1690718400: 1587.78, 1691245800: 1582.8799999999999, 1691508600: 1550.79, 1691859600: 1534.93, 1692376200: 1515.3700000000001, 1693060200: 1534.41, 1693310400: 1533.96, 1693656900: 1556.44, 1694957400: 1538.55, 1695219300: 1521.85, 1695657600: 1518.6399999999999, 1696080600: 1544.1599999999999, 1696334400: 1522.9899999999998, 1696780800: 1507.37}"
