fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name,result
711296,1627059600,779,FC Rostov,0,2,1088,Dinamo Moscow,Away
711297,1627228800,1079,Krylya Sovetov,1,2,1085,Akhmat Grozny,Away
711298,1627232400,555,CSKA Moscow,1,0,1078,FC UFA,Home
711299,1627146000,597,Lokomotiv Moscow,3,1,1077,Arsenal Tula,Home
711300,1627146000,1083,Rubin,1,0,558,Spartak Moscow,Home
711301,1627315200,2011,Nizhny Novgorod,1,0,2012,PFC Sochi,Home
711302,1627223400,1084,Ural,0,3,621,Krasnodar,Away
711303,1627137000,1994,Khimki,1,3,596,Zenit Saint Petersburg,Away
711304,1627837200,779,FC Rostov,2,4,596,Zenit Saint Petersburg,Away
711305,1627837200,621,Krasnodar,0,1,1994,Khimki,Away
711306,1627660800,1079,Krylya Sovetov,0,1,558,Spartak Moscow,Away
711307,1627750800,555,CSKA Moscow,1,2,597,Lokomotiv Moscow,Away
711308,1627923600,1085,Akhmat Grozny,1,2,2012,PFC Sochi,Away
711309,1627660800,1077,Arsenal Tula,0,3,1083,Rubin,Away
711310,1627741800,1078,FC UFA,2,3,1088,Dinamo Moscow,Away
711311,1627828200,1084,Ural,1,1,2011,Nizhny Novgorod,Draw
711312,1628344800,596,Zenit Saint Petersburg,3,2,621,Krasnodar,Home
711313,1628355600,558,Spartak Moscow,1,2,2011,Nizhny Novgorod,Away
711314,1628442000,1088,Dinamo Moscow,2,1,555,CSKA Moscow,Home
711315,1628524800,2012,PFC Sochi,2,0,1084,Ural,Home
711316,1628442000,1083,Rubin,2,1,1085,Akhmat Grozny,Home
711317,1628346600,1077,Arsenal Tula,2,1,1079,Krylya Sovetov,Home
711318,1628258400,1078,FC UFA,1,1,597,Lokomotiv Moscow,Draw
711319,1628433000,1994,Khimki,1,1,779,FC Rostov,Draw
711320,1628951400,558,Spartak Moscow,1,0,1084,Ural,Home
711321,1628960400,779,FC Rostov,1,3,555,CSKA Moscow,Away
711322,1629046800,621,Krasnodar,3,2,1077,Arsenal Tula,Home
711323,1629037800,597,Lokomotiv Moscow,1,1,596,Zenit Saint Petersburg,Draw
711324,1628960400,1085,Akhmat Grozny,2,1,1088,Dinamo Moscow,Home
711325,1629129600,2012,PFC Sochi,3,0,1994,Khimki,Home
711326,1629046800,1083,Rubin,1,1,1079,Krylya Sovetov,Draw
711327,1628951400,2011,Nizhny Novgorod,1,2,1078,FC UFA,Away
711328,1629565200,1079,Krylya Sovetov,1,0,2012,PFC Sochi,Home
711329,1629550800,555,CSKA Moscow,2,0,1085,Akhmat Grozny,Home
