,team_name,league,elo_rating,games
596,Zenit Saint Petersburg,235,1791.3438045443968,32
2012,PFC Sochi,235,1732.686603882103,31
558,Spartak Moscow,235,1656.3074245777098,35
621,Krasnodar,235,1632.8522394415197,31
555,CSKA Moscow,235,1621.4899222337222,34
1088,Dinamo Moscow,235,1600.820168863903,36
1085,Akhmat Grozny,235,1598.8183001670802,31
597,Lokomotiv Moscow,235,1584.3376660187776,31
1079,Krylya Sovetov,235,1574.5943751550312,31
1994,Khimki,235,1570.1551367935733,33
779,FC Rostov,235,1565.3379123802988,31
1084,Ural,235,1561.6998498095406,31
2011,Nizhny Novgorod,235,1540.6737504584746,32
3985,Torpedo Moskva,236,1531.0660740286064,40
1078,FC UFA,235,1500.4050161128491,33
1080,Orenburg,235,1483.9524584440933,41
1993,Fakel Voronezh,236,1469.7699930647964,40
1089,Enisey,236,1456.9703886248683,43
2006,Baltika,236,1445.7764023683944,40
6786,Akron,236,1428.388020394948,39
6831,Urozhay,236,1422.0426334354593,41
1087,Ska-khabarovsk,235,1421.7006494704754,41
1077,Arsenal Tula,235,1398.2981884436329,32
1083,Rubin,235,1397.376162045052,32
2003,Spartak Moscow 2,236,1376.601822021037,38
2015,Krasnodar 2,236,1370.5896872382998,38
2001,FK Neftekhimik,236,1363.0712010067334,39
6787,Alaniya Vladikavkaz,236,1347.7615553461612,43
1081,Tom Tomsk,236,1306.1118361655194,39
2004,Volgar Astrakhan,236,1269.8283708308593,39
6833,Veles,236,1266.1715103695028,40
6797,Dolgoprudny,236,1222.9948425534403,39
2010,Rotor Volgograd,236,1219.3276973455827,40
6815,Metallurg Lipetsk,236,1209.0773726044927,40
6801,KAMAZ,236,1194.943868338162,41
3984,Tekstilshchik,236,1066.6570954209033,39
