id,fixtureID,team_id,position,goals,shots,xg,time
0,879867,1994,home,1.00,3.00,1.00,1657904400
1,879867,596,away,1.00,2.00,1.00,1657904400
2,879868,555,home,2.00,8.00,2.00,1657972800
3,879868,1084,away,0.00,2.00,0.00,1657972800
4,879869,1080,home,2.00,8.00,2.00,1657981800
5,879869,1079,away,4.00,9.00,4.00,1657981800
6,879870,1085,home,1.00,6.00,1.00,1657990800
7,879870,558,away,1.00,2.00,1.00,1657990800
8,881315,6833,home,2.00,2.00,2.00,1658055600
9,881315,2006,away,1.00,1.00,1.00,1658055600
10,879871,3985,home,1.00,4.00,1.00,1658059200
11,879871,2012,away,3.00,5.00,3.00,1658059200
12,879872,597,home,1.00,5.00,1.00,1658068200
13,879872,2011,away,1.00,1.00,1.00,1658068200
14,879874,1088,home,1.00,3.00,1.00,1658077200
15,879874,779,away,1.00,4.00,1.00,1658077200
16,879873,621,home,2.00,6.00,2.00,1658077200
17,879873,1993,away,2.00,10.00,2.00,1658077200
18,879875,596,home,3.00,7.00,3.00,1658509200
19,879875,1079,away,0.00,0.00,0.00,1658509200
20,879876,555,home,3.00,3.00,3.00,1658577600
21,879876,2012,away,0.00,2.00,0.00,1658577600
22,879877,1080,home,3.00,9.00,3.00,1658586600
23,879877,1084,away,0.00,2.00,0.00,1658586600
24,879878,621,home,1.00,3.00,1.00,1658595600
25,879878,558,away,4.00,8.00,4.00,1658595600
26,881325,1089,home,3.00,3.00,3.00,1658656800
27,881325,1083,away,2.00,2.00,2.00,1658656800
28,879879,1994,home,3.00,6.00,3.00,1658664000
29,879879,2011,away,0.00,2.00,0.00,1658664000
30,879880,1088,home,4.00,5.00,4.00,1658673000
31,879880,3985,away,0.00,3.00,0.00,1658673000
32,881322,2006,home,3.00,3.00,3.00,1658678400
33,881322,2004,away,1.00,1.00,1.00,1658678400
34,879882,1085,home,2.00,6.00,2.00,1658682000
35,879882,1993,away,1.00,4.00,1.00,1658682000
36,879881,597,home,2.00,6.00,2.00,1658682000
37,879881,779,away,2.00,3.00,2.00,1658682000
38,879883,1084,home,1.00,8.00,1.00,1659106800
39,879883,621,away,3.00,3.00,3.00,1659106800
40,874671,37,home,0.00,0.00,0.00,1659121200
41,874671,44,away,1.00,7.00,1.00,1659121200
42,879884,1993,home,3.00,5.00,3.00,1659182400
43,879884,1088,away,3.00,2.00,3.00,1659182400
44,874676,1359,home,0.00,4.00,0.00,1659189600
45,874676,54,away,0.00,3.00,0.00,1659189600
46,879885,596,home,5.00,11.00,5.00,1659191400
47,879885,597,away,0.00,3.00,0.00,1659191400
48,879886,2012,home,2.00,6.00,2.00,1659200400
49,879886,1085,away,1.00,5.00,1.00,1659200400
50,879887,2011,home,2.00,5.00,2.00,1659268800
51,879887,555,away,2.00,3.00,2.00,1659268800
52,879888,558,home,4.00,10.00,4.00,1659277800
53,879888,1080,away,1.00,2.00,1.00,1659277800
54,879889,1079,home,1.00,7.00,1.00,1659277800
55,879889,3985,away,1.00,4.00,1.00,1659277800
56,879890,779,home,1.00,3.00,1.00,1659286800
57,879890,1994,away,0.00,1.00,0.00,1659286800
58,881330,1083,home,0.00,0.00,0.00,1659373200
59,881330,1078,away,0.00,0.00,0.00,1659373200
60,874682,38,home,1.00,4.00,1.00,1659380400
61,874682,62,away,0.00,3.00,0.00,1659380400
62,867946,52,home,0.00,2.00,0.00,1659726000
63,867946,42,away,2.00,2.00,2.00,1659726000
64,867947,36,home,2.00,3.00,2.00,1659785400
65,867947,40,away,2.00,4.00,2.00,1659785400
66,879891,1084,home,0.00,4.00,0.00,1659787200
67,879891,558,away,2.00,11.00,2.00,1659787200
68,867952,47,home,4.00,8.00,4.00,1659794400
69,867952,41,away,1.00,2.00,1.00,1659794400
70,874691,62,home,2.00,6.00,2.00,1659794400
71,874691,58,away,0.00,1.00,0.00,1659794400
72,867951,34,home,2.00,10.00,2.00,1659794400
73,867951,65,away,0.00,0.00,0.00,1659794400
74,874685,44,home,1.00,1.00,1.00,1659794400
75,874685,1359,away,1.00,2.00,1.00,1659794400
76,867948,35,home,2.00,3.00,2.00,1659794400
77,867948,66,away,0.00,2.00,0.00,1659794400
78,867949,63,home,2.00,4.00,2.00,1659794400
79,867949,39,away,1.00,6.00,1.00,1659794400
80,879892,555,home,4.00,7.00,4.00,1659796200
81,879892,1993,away,1.00,2.00,1.00,1659796200
82,867953,45,home,0.00,4.00,0.00,1659803400
83,867953,49,away,1.00,6.00,1.00,1659803400
84,879894,1085,home,0.00,6.00,0.00,1659805200
85,879894,596,away,0.00,0.00,0.00,1659805200
86,879893,621,home,3.00,5.00,3.00,1659805200
87,879893,597,away,0.00,4.00,0.00,1659805200
88,879895,3985,home,1.00,8.00,1.00,1659873600
89,879895,1994,away,3.00,9.00,3.00,1659873600
90,867954,33,home,1.00,5.00,1.00,1659877200
91,867954,51,away,2.00,4.00,2.00,1659877200
92,867950,46,home,2.00,5.00,2.00,1659877200
93,867950,55,away,2.00,3.00,2.00,1659877200
94,879896,1079,home,0.00,4.00,0.00,1659882600
95,879896,1088,away,2.00,5.00,2.00,1659882600
96,867955,48,home,0.00,1.00,0.00,1659886200
97,867955,50,away,2.00,2.00,2.00,1659886200
98,879898,2012,home,2.00,12.00,2.00,1659891600
99,879898,2011,away,1.00,2.00,1.00,1659891600
100,879897,779,home,2.00,6.00,2.00,1659891600
101,879897,1080,away,1.00,4.00,1.00,1659891600
102,881337,2001,home,2.00,2.00,2.00,1659970800
103,881337,1083,away,2.00,2.00,2.00,1659970800
104,881340,2006,home,1.00,1.00,1.00,1659978000
105,881340,1077,away,0.00,0.00,0.00,1659978000
106,879899,1993,home,0.00,3.00,0.00,1660321800
107,879899,1084,away,0.00,2.00,0.00,1660321800
108,874705,38,home,1.00,1.00,1.00,1660330800
109,874705,44,away,0.00,4.00,0.00,1660330800
110,867957,66,home,2.00,4.00,2.00,1660390200
111,867957,45,away,1.00,4.00,1.00,1660390200
112,879900,597,home,1.00,8.00,1.00,1660392000
113,879900,1079,away,1.00,7.00,1.00,1660392000
114,879901,596,home,2.00,8.00,2.00,1660399200
115,879901,555,away,1.00,1.00,1.00,1660399200
116,867959,51,home,0.00,7.00,0.00,1660399200
117,867959,34,away,0.00,1.00,0.00,1660399200
118,867962,50,home,4.00,7.00,4.00,1660399200
119,867962,35,away,0.00,1.00,0.00,1660399200
120,867965,39,home,0.00,1.00,0.00,1660399200
121,867965,36,away,0.00,3.00,0.00,1660399200
122,874700,1359,home,0.00,2.00,0.00,1660399200
123,874700,59,away,1.00,5.00,1.00,1660399200
124,867964,41,home,2.00,4.00,2.00,1660399200
125,867964,63,away,2.00,5.00,2.00,1660399200
126,867956,42,home,4.00,7.00,4.00,1660399200
127,867956,46,away,2.00,2.00,2.00,1660399200
128,867958,55,home,4.00,7.00,4.00,1660408200
129,867958,33,away,0.00,4.00,0.00,1660408200
130,879902,1088,home,0.00,4.00,0.00,1660410000
131,879902,621,away,0.00,2.00,0.00,1660410000
132,879903,1994,home,1.00,6.00,1.00,1660478400
133,879903,1085,away,3.00,9.00,3.00,1660478400
134,874701,70,home,2.00,4.00,2.00,1660482000
135,874701,62,away,2.00,4.00,2.00,1660482000
136,867963,65,home,1.00,6.00,1.00,1660482000
137,867963,48,away,0.00,5.00,0.00,1660482000
138,879905,2011,home,3.00,5.00,3.00,1660487400
139,879905,779,away,4.00,4.00,4.00,1660487400
140,879904,1080,home,1.00,9.00,1.00,1660487400
141,879904,3985,away,0.00,1.00,0.00,1660487400
142,881353,1087,home,2.00,2.00,2.00,1660489200
143,881353,2006,away,2.00,2.00,2.00,1660489200
144,867960,49,home,2.00,3.00,2.00,1660491000
145,867960,47,away,2.00,5.00,2.00,1660491000
146,879906,558,home,3.00,7.00,3.00,1660496400
147,879906,2012,away,0.00,3.00,0.00,1660496400
148,881347,1083,home,3.00,3.00,3.00,1660581000
149,881347,6831,away,0.00,0.00,0.00,1660581000
150,867961,40,home,1.00,4.00,1.00,1660590000
